报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
营业利润(万元),39903,29618,14162,55787,40486,23372,13229,48686,30735,17593,8685,25528,11716,7153,3293,20862,13644,8722,4511,18090,13522,7930,4506,18049,16359,13300,
营业外收入(万元),131,101,66,276,84,29,13,162,760,534,129,1601,497,415,19,718,397,12,6,378,213,6,1,446,180,137,
营业外支出(万元),504,264,3,261,329,184,170,1046,1075,766,232,286,96,21,20,41,77,12,0,45,38,33,27,222,12,320,
非流动资产处置损失(万元),,,,,,,,,77,7,3,23,20,4,3,14,14,7,0,12,8,4,,3,6,4,
利润总额(万元),39530,29455,14225,55802,40241,23217,13073,47802,30420,17361,8581,26843,12117,7548,3291,21540,13964,8721,4516,18424,13697,7903,4481,18273,16527,13117,
所得税费用(万元),7686,6824,3752,11867,8087,4694,3449,12351,6207,3533,1777,4613,1806,1990,909,5555,3458,2149,1141,4622,3418,2017,1138,4608,4296,3403,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),31843,22630,10473,43935,32154,18523,9624,35451,24213,13828,6804,22230,10311,5557,2382,15984,10507,6572,3375,13802,10279,5886,3343,13665,12230,9714,
归属于母公司所有者的净利润(万元),27524,19036,8916,36501,26821,16147,8032,30232,20220,12207,6031,19795,9017,4855,2382,15984,10507,6572,3375,13802,10279,5886,3343,13665,12230,9672,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),4319,3594,1557,7434,5333,2376,1591,5220,3993,1621,773,2435,1294,702,,,,,,,,,,,,42,
基本每股收益,0.82,0.57,0.26,1.08,0.8,0.48,0.24,0.91,0.61,0.49,0.24,0.82,0.41,0.29,0.14,1.08,0.74,0.49,0.28,1.15,0.86,0.49,0.28,1.14,1.02,0.81,
稀释每股收益,0.82,0.57,0.25,1.08,0.8,0.48,0.24,0.91,0.61,0.49,0.24,0.81,0.41,0.29,0.14,1.08,0.74,0.49,0.28,1.15,0.86,0.49,0.28,1.14,1.02,0.81,
