报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,
提取保险合同准备金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保单红利支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
分保费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务成本(万元),,,,,,,,,,,,,,,4090,,12877,8833,2977,,18301,,,,16936,,13538,
营业税金及附加(万元),7287,5098,2757,7417,6049,4080,1806,9779,6059,4016,2016,13427,5559,5838,3836,22939,14857,9933,3639,24451,14470,,,,35191,,30486,
销售费用(万元),8005,5113,2597,9902,6565,4307,2327,13167,7187,3748,2270,12430,7749,4229,1798,9406,6319,4126,1741,10838,8098,15845,40221,17383,7883,17476,6663,
管理费用(万元),74972,52588,28314,97475,77653,51604,30123,154224,84574,55066,26381,103912,64012,36199,18404,97928,61479,43098,18354,107794,56683,41782,102038,40471,82359,37304,75572,
财务费用(万元),42834,26216,9516,51374,31825,23023,9725,40148,31656,19295,8537,32068,17503,13286,3054,21015,24327,6513,6179,,10489,,,,5233,5194,10659,
资产减值损失(万元),,,-3,4588,-1893,-1656,-8705,29975,9834,14812,-1301,46834,5190,10114,-865,22101,-10345,2017,-1275,,-1525,,,,2574,,1687,
公允价值变动收益(万元),16,16,,17,,,,,65,35,,,,,,,,,,,,,,,-489,,380,
投资收益(万元),1027,-634,802,14055,1584,997,-191,5138,3685,2993,779,17176,7164,933,299,7722,20286,5068,4085,1338,5220,,,,1717,,4293,
对联营企业和合营企业的投资收益(万元),81,-253,574,398,499,18,-274,2622,,,,-8928,,,-31,2015,458,472,-3,,,,171173,,,,,
汇兑收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,20843,,3010,-50,90,,2300,,
营业利润(万元),25430,12650,12643,71555,52943,42456,12125,101845,50811,33473,6589,101551,57867,20377,11976,79987,55027,40356,15565,128432,57684,55328,240386,43661,137377,77044,105413,
营业外收入(万元),2716,1716,670,5105,2678,1576,1051,5678,4292,2458,3895,37716,33165,27683,1500,10290,9166,6271,946,31198,2768,7003,13229,4958,6689,,4767,
营业外支出(万元),4566,3011,501,11054,1100,477,536,3025,1936,858,203,3445,935,539,244,10125,9635,9532,85,51247,281,25088,25124,9244,705,,1951,
非流动资产处置损失(万元),,,,,,,,,,,,,,,3,,36,16,6,,,,,,279,,615,
利润总额(万元),23580,11356,12813,65606,54522,43555,12640,104497,53167,35073,10281,135822,90096,47521,13232,80152,54557,37095,16426,109722,60171,37226,228284,39273,143361,71761,108229,
所得税费用(万元),7698,1851,3167,14586,15361,10374,4279,22762,14512,10218,2021,23716,11768,7742,2591,17820,16576,8365,3260,26327,13161,9993,58108,10681,29633,16164,25271,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
净利润(万元),15882,9505,9646,51020,39161,33181,8361,81735,38655,24855,8260,112106,78328,39779,10641,62332,37981,28730,13165,83395,47011,27232,170176,28592,113728,55598,82957,
归属于母公司所有者的净利润(万元),2205,1006,5253,30569,25106,23193,3801,59121,25319,15685,1906,95332,68729,34965,10371,49552,29144,22644,16874,72453,46833,23636,170236,28157,109634,53534,79220,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
少数股东损益(万元),13677,8498,4393,20451,14055,9988,4561,22615,13336,9169,6354,16774,9600,4814,270,12780,8837,6086,-3708,10942,178,3596,-60,435,4094,2064,3737,
基本每股收益,-0,-0.01,0.01,0.08,0.07,0.08,0.01,0.21,0.1,0.06,,0.36,0.26,0.13,0.04,0.19,,,,0.27,,0.09,0.64,0.11,0.44,0.23,,
稀释每股收益,-0,,,,0.07,0.08,0.01,0.21,0.09,0.06,,0.36,0.26,0.13,0.04,0.19,,,,,,,,,0.44,,,
