报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
对联营企业和合营企业的投资收益(万元),120,120,154,,,,281,,51,64,154,,,,-36,,,,-19,,-5,,-13,-8,-6,,-5,3,-27,,-161,-15,-15,,0,-38,,,,2,2,,3,-2,-235,-53,0,,,3,
汇兑收益(万元),,,,,,,,,,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
期货损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
托管收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
补贴收入(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
其他业务利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
营业利润(万元),35360,12712,56381,33116,15096,1031,58616,35313,14579,-13712,48310,42613,38470,1774,35959,9729,12553,-6383,-302207,-125474,-91535,-29979,-768250,-142802,-94766,-30605,-304206,-150047,-98831,-30171,-278903,-100919,-40710,-15191,-29592,6120,8272,683,24273,17756,11987,3839,29698,19692,10347,43577,8912,41283,15285,2174,
营业外收入(万元),1481,1055,10910,1623,1610,813,9995,2801,923,506,4197,1773,1890,424,14287,5789,2856,454,354501,3884,1214,266,3477,1420,1222,875,5521,1357,1224,143,1866,1151,834,640,13639,3981,1694,1545,4655,554,398,339,7444,655,623,2597,544,1581,394,145,
营业外支出(万元),727,243,3020,1305,1390,26,6569,4452,1981,221,7743,724,339,78,14111,2813,2759,223,42652,724,261,97,23050,198,55,27,17183,299,228,30,7550,196,72,11,790,389,332,225,1311,913,693,624,1445,935,719,10709,267,1084,957,386,
非流动资产处置损失(万元),,,,,,,,,,,,489,152,41,2941,74,48,1,897,7,7,,169,20,20,11,732,203,144,0,1536,161,45,6,690,309,260,163,1158,797,642,580,1401,772,317,490,1,489,846,329,
利润总额(万元),36113,13524,64271,33434,15316,1818,62042,33662,13520,-13428,44764,43661,40021,2120,36135,12705,12649,-6151,9642,-122314,-90583,-29810,-787823,-141580,-93599,-29757,-315868,-148989,-97835,-30058,-284587,-99965,-39947,-14563,-16743,9712,9635,2003,27617,17397,11691,3554,35697,19412,10251,35466,9189,41779,14722,1933,
所得税费用(万元),5801,4412,12747,3318,2096,538,11278,1930,2572,963,233,137,20,29,304,216,193,,263,113,113,,1943,182,71,56,4886,913,816,396,4312,-283,-288,558,-2870,1411,1384,463,-363,1516,1403,820,-2306,-421,106,798,0,655,3982,1242,
未确认投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
净利润(万元),30312,9112,51524,30117,13221,1281,50764,31732,10949,-14391,44531,43524,40001,2091,35832,12489,12456,-6151,9379,-122428,-90696,-29810,-789766,-141762,-93670,-29813,-320753,-149902,-98651,-30454,-288898,-99682,-39659,-15120,-13873,8301,8251,1540,27980,15881,10289,2734,38003,19833,10145,34667,9188,41125,10740,691,
归属于母公司所有者的净利润(万元),29158,9178,49843,28705,13393,1571,48150,29313,9715,-14447,44531,43524,40001,2091,35832,12489,12456,-6151,9388,-122428,-90696,-29810,-789753,-141757,-93665,-29809,-320748,-149898,-98650,-30445,-288905,-99730,-39702,-15139,-14012,8167,8178,1551,27979,15846,10254,2730,38025,19861,10170,34666,9163,41056,10676,646,
被合并方在合并前实现净利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,0,,,0,,,0,
少数股东损益(万元),1154,-66,1681,1412,-173,-290,2614,2419,1234,56,,,,,,,,,-8,,,,-13,-4,-4,-3,-5,-3,-1,-9,7,48,43,19,139,134,73,-11,1,35,34,4,-22,-28,-25,1,25,69,63,45,
基本每股收益,0.04,0.01,0.07,0.04,0.02,0,0.09,0.06,0.02,-0.03,0.13,0.13,0.12,0.01,0.11,0.04,0.04,-0.02,0.03,-0.53,-0.39,-0.13,-3.44,-0.62,-0.41,-0.13,-1.4,-0.65,-0.43,-0.13,-1.71,-0.59,-0.23,-0.09,-0.08,0.05,0.05,0.01,0.17,0.1,0.06,0.02,0.27,0.14,0.07,0.25,0,0.29,0.08,0.01,
稀释每股收益,0.04,0.01,0.07,0.04,0.02,0,0.09,0.06,0.02,-0.03,0.13,0.13,0.12,0.01,0.11,0.04,0.04,-0.02,0.03,-0.53,-0.39,-0.13,-3.44,-0.62,-0.41,-0.13,-1.4,-0.65,-0.43,-0.13,-1.71,-0.59,-0.23,-0.09,-0.08,0.05,0.05,0.01,0.17,0.1,0.06,0.02,0.27,0.14,0.07,0.25,0,0.29,0.08,0.01,
