报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-03-31,2007-12-31,2006-12-31,2005-12-31,
净利润(万元),,9112,51524,,13221,,50764,,10949,,44531,,40001,,35832,,12456,,9379,,-90696,,-789766,,-93670,,-320753,,-98651,,-288898,,-39659,,-13873,,8251,,27980,,10289,,38003,,10145,34667,0,41125,10740,691,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
资产减值准备(万元),,911,-19878,,7365,,18133,,2535,,-102348,,-46462,,-100800,,-28334,,44355,,14587,,389705,,8626,,59612,,4922,,33522,,1721,,9573,,332,,7069,,4506,,6358,,3733,499,0,2040,-1024,659,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,14100,28091,,13702,,27411,,13745,,26859,,12776,,30753,,16389,,33654,,17093,,47934,,23045,,46166,,21769,,41690,,21734,,36318,,15972,,30631,,15803,,29652,,13418,24068,0,13985,10825,10281,
无形资产摊销(万元),,5874,11461,,5701,,12098,,13745,,2424,,1747,,3296,,1865,,3940,,1858,,3645,,1805,,3755,,1760,,3092,,1424,,2851,,1426,,2833,,1387,,3366,,1720,3224,0,1853,749,749,
长期待摊费用摊销(万元),,284,446,,169,,358,,73,,17,,8,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,10,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
处置固定资产、无形资产和其他长期资产的损失(万元),,-1770,-393,,-210,,1592,,-1562,,-678,,510,,-3505,,48,,884,,7,,59,,20,,-1164,,144,,1432,,11,,432,,167,,940,,597,,1209,,450,-37,0,-453,627,200,
固定资产报废损失(万元),,3,124,,79,,-689,,-253,,1193,,-510,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,
公允价值变动损失(万元),,58,1,,-9,,230,,-218,,,,,,-37,,-37,,-18,,4,,55,,,,-193,,-158,,-24,,,,475,,,,-258,,,,0,,0,0,0,0,0,0,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
财务费用(万元),,1074,9700,,4248,,13733,,11135,,18034,,6837,,22510,,11983,,81464,,40380,,74573,,35506,,67420,,31057,,62879,,22654,,45994,,15261,,24721,,13612,,28946,,14610,23486,0,14867,10382,5281,
投资损失(万元),,-406,-1669,,-278,,-1497,,-51,,-905,,-735,,-18168,,-21107,,59,,5,,3,,6,,-90,,-16,,217,,-17,,-826,,-412,,-106,,-2,,-9,,2,235,0,-3678,0,-3,
递延所得税资产减少(万元),,384,-1123,,-703,,-1274,,-480,,18,,1,,52,,22,,66,,33,,918,,-29,,4260,,-13,,3593,,-685,,-4566,,-88,,-379,,578,,-2307,,-1519,708,0,-31,3608,30,
递延所得税负债增加(万元),,-209,-18,,-15,,-259,,-181,,,,,,,,,,-60,,118,,3,,,,20,,,,,,10,,-63,,-33,,22,,-31,,50,,21,-101,0,118,0,0,
存货的减少(万元),,-40832,-70930,,-38953,,-2494,,-64122,,-16627,,-40463,,87926,,50436,,67366,,36079,,30908,,-12472,,71175,,70816,,-19007,,-79723,,-38138,,-37054,,-99307,,-43563,,29557,,18675,-141810,0,-88384,-31155,-68759,
经营性应收项目的减少(万元),,-68997,59384,,20592,,-110262,,-120320,,42029,,-2947,,-18248,,-20372,,5231,,19294,,22138,,44996,,-58002,,-64714,,75288,,51053,,-109546,,-28222,,-35483,,-67837,,-72104,,-77119,-135240,0,-37542,-21854,-34199,
经营性应付项目的增加(万元),,8521,-112729,,-91035,,100342,,59346,,-48814,,9119,,-27676,,-18730,,-95315,,-123937,,123091,,-19709,,69866,,-34857,,-74424,,-64568,,-119177,,-78590,,749,,-6517,,-52285,,-92821,195190,0,93040,33405,87969,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
其他(万元),,-2746,19,,-6136,,-7963,,734,,-3685,,720,,-1716,,-2031,,-348791,,,,5697,,,,665,,,,694,,,,0,,,,,,,,0,,0,0,0,0,0,0,
经营活动产生现金流量净额(万元),,-71307,-36946,,-72264,,100222,,-74926,,-37952,,-19397,,10218,,2588,,-197785,,-85175,,-91037,,-11876,,-57264,,-67941,,-159946,,-86046,,-190545,,-102989,,-40589,,-71180,,10435,,-108687,4890,0,36940,16302,2908,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,46000,,44200,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,
现金的期末余额(万元),726771,749965,857572,802577,818529,857662,963850,603043,515792,504208,348423,351413,366724,357649,392358,351456,373675,76270,55683,43658,46563,39028,46777,36605,41452,53252,81479,109733,222398,277234,191306,205767,203482,211136,262802,232168,278404,252203,346196,287362,334105,365979,291986,297434,228393,309124,121082,163595,111983,81384,
现金的期初余额(万元),857572,857572,963850,963850,963850,963850,666734,666734,666734,666734,392358,392358,392358,392358,55683,55683,55683,72252,46777,46777,46777,47491,81479,81479,81479,81479,191306,191306,191306,191306,262802,262802,262802,262802,346196,346196,346196,346196,291986,291986,291986,291986,309124,309124,309124,163595,160591,111983,81384,70096,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,0,,0,0,0,0,0,0,
现金及现金等价物的净增加额(万元),-130801,-107608,-106278,-161273,-145322,-106188,297116,-63691,-150942,-162526,-43935,-40945,-25634,-34709,336675,295773,317992,4019,8906,-3120,-214,-8463,-34702,-44874,-40027,-28228,-109827,-81573,31092,85928,-71496,-57035,-59320,-51666,-83394,-114029,-67793,-93994,54211,-4623,42120,73994,-17138,-11690,-80731,145529,-39510,51612,30599,11288,

