报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
收到的税费返还(万元),491,177,129,1861,427,262,51,931,250,,,,1491,,812,,423,,3725,,1627,,703,,223,,432,,,3620,347,323,321,1333,,1046,
收到的其他与经营活动有关的现金(万元),91774,60663,26581,115700,89764,53030,25479,111349,88737,8363,44347,80326,123886,53852,343831,82770,76821,39575,262269,159449,80104,10983,288447,4512,107537,12442,376505,,119321,43251,340943,205290,72547,18088,30637,8519,
经营活动现金流入小计(万元),5878898,3723102,1771469,7907648,5597451,3546308,1791405,7516514,5644910,2741387,4913181,2211974,1637848,4829645,6071956,2385415,1998592,4982054,6745793,2349546,2113451,5075787,7842984,2709021,2454975,4669910,8209337,,2470132,4459344,7833691,5024606,2313026,4262432,2744963,3530104,
购买商品、接受劳务支付的现金(万元),5215103,3282493,1663274,6733394,4910971,-3190398,1662807,6357834,5040213,2494280,4319552,1898994,1369280,4199125,5160748,2054306,1749102,4460298,6001512,1973657,1869344,4576688,7079289,2409885,2177191,4281672,7423249,,2238342,3983306,7106938,4570476,2096900,3818296,2379578,3176062,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,585,5143,,,522,2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),384812,291665,158660,588929,430009,-318683,173818,555098,371730,190278,338206,168265,91151,316712,214899,154226,83543,313307,206869,149490,82723,285950,196590,141844,76919,268295,179748,,69373,236529,157910,105996,58914,201122,180031,179852,
支付的各项税费(万元),125775,79370,34334,158450,121772,-46474,31212,136708,114873,42089,75737,18591,15032,54311,54787,30136,18584,63837,98833,30910,27951,49804,61349,27579,26913,66235,61635,,17231,74730,59734,41926,20638,56871,73636,76060,
支付的其他与经营活动有关的现金(万元),170286,117442,22215,220392,150321,-96912,41208,163898,122924,29517,9559,98497,185912,16139,500556,96852,141230,33849,320164,148497,102486,32076,373371,23953,133167,15570,464723,,140325,52973,407294,277947,122607,90352,33455,10049,
经营活动现金流出小计(万元),5895975,3770969,1879067,7706308,5613073,-3652468,1909567,7215941,5649740,2756164,4743053,2184346,1661374,4586288,5930990,2335520,1992459,4871291,6627379,2302554,2082503,4944517,7710599,2603260,2414190,4631772,8129354,,2465271,4347538,7731876,4996344,2299059,4166640,2666699,3442024,
经营活动产生的现金流量净额(万元),-17077,-47867,-107598,201339,-15623,-106159,-118162,300573,-4830,-14777,170127,27629,-23526,243357,140966,49896,6132,110762,118414,46992,30948,131270,132385,105762,40785,38138,79983,14154,4862,111807,101815,28262,13967,95792,78264,88080,
收回投资所收到的现金(万元),2380,1084,2265,467372,140024,120858,63000,99391,68909,46024,93982,22585,,50765,32665,7599,20619,95552,80661,65561,40267,2982,11157,2377,315,20835,6643,,,561,27,254,,2029,11104,5608,
取得投资收益所收到的现金(万元),112101,4008,2456,101826,97708,8698,2976,109382,90370,7309,101230,10844,314,94586,61757,11426,2779,81532,75198,72538,103,77411,76142,5837,1172,58070,58858,8652,159,81780,65804,48995,346,52635,23972,46920,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9380,14604,2034,42704,38161,25806,9968,56691,51290,2745,17635,4622,785,51108,1721,41758,743,48012,3775,4548,622,10785,8899,6225,360,20820,24756,36825,21599,3892,1708,1575,293,21830,5732,3257,
处置子公司及其他营业单位收到的现金净额(万元),1128,,,177615,776,,,18664,4209,,12648,13502,,12936,-3661,-859,366,,-26753,-11472,,,,,,,2187,1162,-3,,633,17529,,,,54054,
收到的其他与投资活动有关的现金(万元),75597,50195,33160,23583,2364,3730,3540,15790,12163,2201,10826,11569,9828,11523,60095,31427,25901,7890,43551,5870,1949,53238,5582,10722,2074,43992,34476,,5750,10381,9248,2115,2054,23077,70393,5784,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,,,,,
投资活动现金流入小计(万元),200586,69892,39915,813100,280017,159093,79484,299918,229796,58279,236321,63123,10926,220918,152576,91350,50407,263963,176430,137045,42941,144417,101780,25161,3922,143717,126921,,27504,96613,77420,70468,2693,99571,111201,115623,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),105295,87698,40431,258573,152378,-120398,65991,343467,264200,53131,146335,48848,25387,165304,100182,75673,37552,131472,68734,42275,22231,179184,103854,78115,33768,151001,105959,78935,36649,153507,99710,57352,37069,124558,61727,119255,
投资所支付的现金(万元),30565,1814,41764,17760,20165,-18437,16486,104389,89249,,28750,,,118000,15000,8314,,90080,122809,76222,39953,,11937,39830,9830,5588,12070,,5972,22078,19936,28426,11069,54067,104460,31794,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),50,,,41724,2505,,,,24314,22289,15697,853,755,16608,15233,,3973,37328,,,,14097,10000,3000,3000,53153,40140,,,22900,40625,1700,,3972,42615,18334,
支付的其他与投资活动有关的现金(万元),4540,939,939,7491,107319,-72044,42533,96235,72176,101658,71193,149084,134047,6459,237490,159602,3010,6393,17129,66,12,73093,1442,849,10,53014,35330,18000,10600,50117,9231,22168,,5721,7454,79197,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,7903,,,,,,,,,
投资活动现金流出小计(万元),140449,90451,83133,325548,282368,-210879,125010,544091,449940,177077,261975,198784,160188,311469,367904,243589,44535,288910,208673,118563,62196,266374,127233,121794,46608,262756,193498,,53222,248602,169502,109646,48139,188318,216256,248580,
投资活动产生的现金流量净额(万元),60137,-20559,-43219,487552,-2351,-51786,-45525,-244173,-220144,-118798,-25655,-135661,-149262,-90552,-215328,-152239,5872,-24947,-32243,18482,-19255,-121957,-25453,-96633,-42686,-119040,-66578,-88948,-25718,-151989,-92081,-39178,-45446,-88747,-105055,-132957,
吸收投资收到的现金(万元),5831,5831,5831,5655,5238,3769,1945,20273,14948,2812,21445,,,4210,4000,2000,2000,1368,134581,1367,1369,4294,945,812,343,4100,406317,,200000,1662,234925,1500,,314,545,98,
其中：子公司吸收少数股东投资收到的现金(万元),5831,5831,5831,5655,,,1822,18790,,,21445,,,4210,,,,1368,,,,4294,,,,4100,,,,1662,,,,314,545,98,
取得借款收到的现金(万元),14683,13229,9378,968946,,545965,161736,938006,,405850,267818,397022,405763,90948,504299,436164,243167,199199,253963,198887,47099,141833,330137,297088,53625,427625,391443,170496,85568,267172,320203,78018,107897,222774,323455,383743,
发行债券收到的现金(万元),,,,,572560,,,,746874,,499075,,,399600,,,,232615,,,,399509,,,,399442,,200000,,283665,,,,,,,
收到其他与筹资活动有关的现金(万元),17584,,,69179,,,21123,,,,,29746,29750,,89541,107441,10752,,,14157,,,,9268,,,66167,,66167,,9961,,1744,3953,20250,23381,
筹资活动现金流入小计(万元),38097,19059,15209,1043780,577798,549735,184804,958279,761822,408663,788337,426768,435513,584298,597840,545604,255919,433183,388544,214412,48468,545636,331082,307168,53968,831166,863927,372595,351735,552499,565089,79518,109642,227041,344249,407223,
偿还债务支付的现金(万元),368729,230990,121279,632252,194966,-426591,96477,839956,455685,335077,731585,255782,276345,523670,494286,421404,219139,376779,222037,115306,58917,523636,341842,309338,60602,693717,723351,203983,216025,425354,304911,58857,80488,96092,251803,300628,
分配股利、利润或偿付利息所支付的现金(万元),144076,29294,15755,171291,79657,-42633,14023,122063,62754,16291,102648,12705,702,97025,63851,19353,10154,78968,39158,8154,10623,54201,37747,11941,10986,47134,41399,7830,53,49459,14757,9341,4163,34186,23034,40269,
其中：子公司支付给少数股东的股利、利润(万元),8317,4474,,35634,,,521,30029,,,24879,,,20318,,,,15423,,,,11572,,,,10982,,,,7247,,,,7593,7704,16106,
支付其他与筹资活动有关的现金(万元),136369,102974,7805,369749,304491,-3447,3448,11565,8673,,2201,32770,912,,60850,34037,19169,91,107374,61000,,6665,360,5154,200,1312,2660,378,382,1588,5201,2712,,,,20210,
筹资活动现金流出小计(万元),649174,363258,144839,1173292,580692,-472671,113948,973583,527242,351368,837038,301256,277958,658423,618987,474794,248462,525051,368568,184460,69539,584503,379949,326433,71787,742162,767409,232993,216460,476401,324869,70909,84651,130279,274837,361106,
筹资活动产生的现金流量净额(万元),-611077,-344199,-129630,-129512,-2894,77064,70855,-15304,234580,57295,-48701,125511,157555,-74125,-21147,70811,7458,-91868,19975,29952,-21071,-38866,-48867,-19265,-17819,89004,96518,139608,135276,76098,240220,8609,24990,96763,69413,46116,
汇率变动对现金及现金等价物的影响(万元),3256,-7648,-8043,1465,-6897,-5487,-2057,-2552,-7653,-875,2756,1416,1682,1439,12115,-461,1645,607,1275,221,711,-2317,-5132,-1027,2218,-749,1024,460,-340,-4062,-22128,-2103,-1345,-3255,,,
现金及现金等价物净增加额(万元),-564761,-420273,-288490,560844,-27765,-86368,-94889,38543,1953,-77155,98528,18895,-13551,80119,-83394,-31994,21107,-5446,107422,95648,-8667,-31871,52934,-11163,-17502,7353,110947,65274,114080,31854,227825,-4411,-7833,100552,42622,1239,
加:期初现金及现金等价物余额(万元),1531782,1531782,1531782,970938,970938,970938,970938,932396,932396,711859,613331,613331,613331,533211,533211,533211,644448,538658,527587,527587,628133,559457,637246,637246,637246,552105,629110,552105,629110,520251,571623,520251,571623,419699,377077,375838,
期末现金及现金等价物余额(万元),967021,1111509,1243293,1531782,943174,884570,876049,970938,934348,634704,711859,632225,599780,613331,449818,501218,665555,533211,635009,623234,619466,527587,690179,626083,619744,559457,740057,617378,743190,552105,799448,515840,563790,520251,419699,377077,
净利润(万元),,158304,,319897,,,,298139,,,208651,,,196189,,,,151547,,,,115065,,,,91083,,,,87194,,,,83222,52598,81192,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,,,15675,,,,13612,,,9449,,,2478,,,,27453,,,,1827,,,,5571,,,,5316,,,,1560,1323,2107,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,47965,,121555,,,,114599,,,61458,,,59875,,,,59919,,,,48822,,,,45483,,,,42109,,,,39398,36746,31571,
无形资产摊销(万元),,8321,,15691,,,,13260,,,9468,,,8793,,,,9046,,,,8680,,,,8074,,,,7122,,,,6932,5693,5665,
长期待摊费用摊销(万元),,2086,,5091,,,,5219,,,2040,,,1657,,,,1130,,,,758,,,,819,,,,1834,,,,3528,4184,4379,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-6407,,-13757,,,,-16964,,,-11699,,,-26941,,,,-18779,,,,954,,,,2249,,,,-328,,,,861,-8,-210,
固定资产报废损失(万元),,-37,,-2283,,,,844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,-23600,,,,1488,,,,,,,,,,,,,,,,,,-22,,,,-11131,,,,-2113,-18452,28179,
递延收益增加(减：减少)(万元),,,,,,,,,,,-702,,,-490,,,,-439,,,,-2440,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,14995,,51011,,,,25280,,,21108,,,23778,,,,20800,,,,23080,,,,21998,,,,12857,,,,9843,7128,4720,
投资损失(万元),,-62565,,-259442,,,,-194684,,,-141210,,,-116272,,,,-80864,,,,-68175,,,,-69442,,,,-57937,,,,-56603,-39081,-96984,
递延所得税资产减少(万元),,-103,,10901,,,,-4359,,,3240,,,-3676,,,,-6124,,,,-4566,,,,-1199,,,,-252,,,,-2185,-1689,-351,
递延所得税负债增加(万元),,-23,,-422,,,,2903,,,-1,,,11,,,,-2,,,,-2741,,,,-13,,,,-23,,,,-7273,-2493,10166,
存货的减少(万元),,12744,,3006,,,,-13956,,,-537,,,488,,,,-10476,,,,-684,,,,2974,,,,-4711,,,,-439,267,-35,
经营性应收项目的减少(万元),,-182812,,-63877,,,,-91963,,,-96027,,,12078,,,,-146907,,,,23021,,,,-110069,,,,-61617,,,,-131110,-104591,95246,
经营性应付项目的增加(万元),,-66105,,-3397,,,,147155,,,104986,,,86992,,,,114855,,,,-11361,,,,40191,,,,90460,,,,146718,136638,-77565,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-47867,,201339,,,,300573,,,170127,,,243357,,,,110762,,,,131270,,,,38138,,,,111807,,,,95792,78264,88080,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),967021,1111509,1243293,1531782,943174,884570,876049,970938,934348,634704,711859,632225,599780,613331,449818,501218,665555,533211,635009,623234,619466,527587,690179,626083,619744,559457,740057,617378,743190,552105,799448,515840,563790,520251,419699,377077,
现金的期初余额(万元),1531782,1531782,1531782,970938,970938,970938,970938,932396,932396,711859,613331,613331,613331,533211,533211,533211,644448,538658,527587,527587,628133,559457,637246,637246,637246,552105,629110,552105,629110,520251,571623,520251,571623,419699,377077,375838,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-564761,-420273,-288490,560844,-27765,-86368,,38543,,-77155,98528,18895,-13551,80119,-83394,-31994,21107,-5446,107422,95648,-8667,-31871,52934,-11163,-17502,7353,110947,65274,114080,31854,227825,-4411,-7833,100552,42622,1239,

