报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
投资活动现金流出小计(万元),14683,6562,4140,222106,214750,4565,1686,21495,12249,7201,1353,9390,6141,14998,1666262,8161,5219,2770,39047,67640,12134,47991,34951,26979,9629,
投资活动产生的现金流量净额(万元),-6727,-645,1508,-214849,-207764,2099,4914,-21458,-12185,-7146,-1353,-5359,-2122,-10960,-1624148,19516,19776,-2055,-31105,-39682,95837,-46202,-30538,-25017,-4287,
吸收投资收到的现金(万元),,,,,,,,396292,460,460,,50000,50000,50000,214837,41290,38740,2550,388100,,,400,400,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,460,460,460,,,,,176097,2550,,2550,700,,,400,,,,
取得借款收到的现金(万元),70446,66945,4075,110664,96184,77565,15866,139144,80040,63756,,54565,45244,35077,24089,67198,13200,3029,18818,1100,,9900,,,,
发行债券收到的现金(万元),1267543,983738,524286,2405024,2092356,843245,725316,872441,689384,232985,148390,1421705,1296850,720000,1644515,1224515,1224515,261000,752112,360000,225000,90000,3000,,,
收到其他与筹资活动有关的现金(万元),,,,100000,100000,100000,100000,200000,110000,,,140000,80000,93427,812198,689080,685075,,335000,,,198046,,,,
筹资活动现金流入小计(万元),1337989,1050683,528361,2615688,2288540,1020810,841182,1607878,879884,297201,148390,1666270,1472094,898503,2695640,2022083,1961530,266579,1494030,361100,225000,298346,3400,0,0,
偿还债务支付的现金(万元),1533652,1208198,659474,2354885,1625276,909209,867915,338078,536901,255018,66906,1521752,932004,599555,701059,513763,318321,172112,465750,315000,210000,,,323,,
分配股利、利润或偿付利息所支付的现金(万元),114664,69646,35594,144134,120419,51313,25624,78274,65615,58019,17076,72878,46198,41598,100121,82521,58695,3690,22238,6965,3961,4731,1318,1129,8071,
其中：子公司支付给少数股东的股利、利润(万元),51,,,,,,,,2566,,,,,,97,,,,,,,1807,,,,
支付其他与筹资活动有关的现金(万元),400,,,110864,110864,110000,110000,339826,197269,120089,3275,488934,487813,455528,625552,483920,218000,,158700,,,,,,,
筹资活动现金流出小计(万元),1648716,1277844,695068,2609883,1856559,1070522,1003540,756178,799785,433125,87257,2083564,1466015,1096681,1426733,1080204,595016,175802,646688,321965,213961,4731,1318,1452,8071,
筹资活动产生的现金流量净额(万元),-310727,-227161,-166707,5805,431981,-49712,-162358,851700,80100,-135924,61133,-417294,6079,-198177,1268907,941879,1366514,90777,847342,39135,11039,293615,2082,-1452,-8071,
汇率变动对现金及现金等价物的影响(万元),1406,280,-2566,4666,2394,839,-1718,-3881,-2273,-2228,-743,2941,599,791,1898,-50,-211,405,-110,106,91,-352,-15,-41,1,
现金及现金等价物净增加额(万元),315553,429183,614739,31884,76258,143732,185665,-521592,-480808,-332918,-321248,-521473,-683179,-360711,-121370,1701952,3055985,562183,1101759,389972,248397,188571,134663,199577,-32663,
加:期初现金及现金等价物余额(万元),1157957,1157957,1157957,1126073,1126073,1126073,1126073,1647664,1647664,1647664,1647664,2169137,2169137,3815079,2290508,2290508,2290508,2290508,1188749,1188749,1188749,1000177,1000177,1000177,1032840,
期末现金及现金等价物余额(万元),1473510,1587139,1772696,1157957,1202331,1269804,1311738,1126073,1166856,1314746,1326416,1647664,1485958,3454367,2169137,3992460,5346492,2852691,2290508,1578720,1437145,1188749,1134841,1199754,1000177,
净利润(万元),,73634,,81304,,58466,,147681,,79719,,177726,,,332107,,,,101407,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-763,,20855,,-793,,9509,,4254,,-1497,,,11071,,,,1552,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1778,,3048,,1499,,2723,,1346,,2941,,,4395,,,,3718,,,,,,,
无形资产摊销(万元),,2389,,4484,,2283,,3929,,1803,,3037,,,3597,,,,2498,,,,,,,
长期待摊费用摊销(万元),,968,,2158,,970,,1660,,771,,1315,,,2104,,,,2461,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-285,,-52,,,,-2,,-6,,,-26312,,,,-4,,,,,,,
固定资产报废损失(万元),,-6,,1,,,,-14,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,-58641,,-844,,14109,,9501,,-1852,,19385,,,-14725,,,,-483,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,50658,,100546,,45386,,70654,,33618,,79839,,,88374,,,,24981,,,,,,,
投资损失(万元),,-35402,,-31290,,-23060,,-49493,,-27249,,-41340,,,-71070,,,,-7361,,,,,,,
递延所得税资产减少(万元),,6696,,-8678,,-5432,,-7530,,-7282,,-6066,,,-12988,,,,-1756,,,,,,,
递延所得税负债增加(万元),,-2712,,3024,,1204,,-2,,47,,-3358,,,3298,,,,134,,,,,,,
存货的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
经营性应收项目的减少(万元),,245437,,-92723,,115483,,-653710,,411701,,771151,,,-1376423,,,,-1594117,,,,,,,
经营性应付项目的增加(万元),,384467,,55152,,215045,,-787716,,-634185,,-841955,,,1853537,,,,1794170,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,-24,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,656708,,236262,,190505,,-1347952,,-187620,,-101761,,,231973,,,,285633,,,,,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),1473510,1587139,1772696,1157957,1202331,1269804,1311738,1126073,1166856,1314746,1326416,1647664,1485958,3454367,2169137,3992460,5346492,2852691,2290508,1578720,1437145,1188749,1134841,1199754,1000177,
现金的期初余额(万元),1157957,1157957,1157957,1126073,1126073,1126073,1126073,1647664,1647664,1647664,1647664,2169137,2169137,3815079,2290508,2290508,2290508,2290508,1188749,1188749,1188749,1000177,1000177,1000177,1032840,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),315553,429183,614739,31884,76258,143732,185665,-521592,-480808,-332918,-321248,-521473,,-360711,-121370,1701952,3055985,562183,1101759,389972,248397,188571,134663,199577,-32663,

