报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
分配股利、利润或偿付利息所支付的现金(万元),1606,618,87,1460,703,559,140,2279,1970,1848,60,719,662,488,185,1213,946,701,1560,1579,1471,917,441,782,4093,2505,
其中：子公司支付给少数股东的股利、利润(万元),,508,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),5370,20,20,,,,,3,0,0,,662,662,25,,20,20,,40,213,263,420,10,10,1111,,
筹资活动现金流出小计(万元),8675,2137,1606,17504,7892,5559,4140,9246,8070,6948,1560,23466,18991,7218,1785,19541,13192,10573,24257,22528,19549,10612,3951,13934,16287,11610,
筹资活动产生的现金流量净额(万元),7601,5423,-646,2367,-2892,-1559,-3140,3111,-1881,-2948,-1560,5462,6459,17232,81,-5446,-2313,-3194,-3850,-2454,1202,1339,-831,66,-1518,-252,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),2662,-2187,-1036,1549,282,2288,-121,2520,-2968,-3491,-2880,5625,6172,18163,533,67,-548,-833,2442,379,-3005,1449,1023,-472,1523,559,
加:期初现金及现金等价物余额(万元),14826,14826,14826,13277,13277,13277,13277,10758,10758,10758,10758,5132,5132,5132,5132,5065,5065,5966,2624,2245,5249,3801,3801,4273,2750,2191,
期末现金及现金等价物余额(万元),17488,12640,13790,14826,13559,15565,13156,13277,7790,7267,7878,10758,11304,23296,5666,5132,4517,5132,5065,2624,2245,5249,4824,3801,4273,2750,
净利润(万元),,3506,,3105,,1318,,2242,,1295,,2680,,1607,,3484,,1988,3814,3602,3801,3484,1803,3206,2438,1897,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,400,,230,,212,,108,,145,,51,,76,,81,,87,73,51,110,-47,-6,-119,414,87,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1120,,2218,,1093,,2037,,989,,1870,,924,,1833,,890,1795,1826,1564,1370,670,1346,1254,1063,
无形资产摊销(万元),,88,,122,,47,,103,,50,,91,,45,,77,,39,79,89,,,,,,,
长期待摊费用摊销(万元),,109,,110,,38,,48,,16,,25,,10,,18,,10,22,12,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,1,,65,,7,,111,,0,,20,,0,,2,,1,1,-3,,,,,,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,,1,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,474,,957,,378,,319,,118,,727,,442,,1200,,651,1454,1470,1164,691,349,620,593,221,
投资损失(万元),,-394,,-577,,-385,,-523,,-367,,-456,,-321,,-511,,-339,-502,-349,,,,,,,
递延所得税资产减少(万元),,-36,,-68,,-14,,-6,,-30,,42,,-9,,-37,,-9,52,-98,,,,,,,
递延所得税负债增加(万元),,,,-1,,,,-1,,,,-1,,,,-1,,-0,3,,,,,,,,
存货的减少(万元),,1080,,1145,,204,,-1901,,-238,,-2121,,-308,,176,,161,-615,170,372,58,891,-1628,788,-816,
经营性应收项目的减少(万元),,-6999,,-3183,,-2332,,624,,-2585,,-728,,-938,,-158,,-1137,-1715,-1734,-1180,407,-825,-1601,-1967,-215,
经营性应付项目的增加(万元),,-986,,4432,,4434,,2030,,1130,,1928,,363,,144,,656,2831,465,1543,263,-337,631,655,244,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,79,158,74,145,24,233,
经营活动产生现金流量净额(万元),,-1637,,8555,,5001,,5191,,525,,4127,,1890,,6310,,2996,7294,5501,7453,6384,2619,2600,4199,2714,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),17488,12640,13790,14826,13559,15565,13156,13277,7790,7267,7878,10758,11304,23296,5666,5132,4517,4232,5065,2624,2245,5249,4824,3801,4273,2750,
现金的期初余额(万元),14826,14826,14826,13277,13277,13277,13277,10758,10758,10758,10758,5132,5132,5132,5132,5065,5065,5065,2624,2245,5249,3801,3801,4273,2750,2191,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),2662,-2187,-1036,1549,282,2288,-121,2520,-2968,-3491,-2880,5625,6172,18163,533,67,-548,-833,2442,379,-3005,1449,1023,-472,1523,559,

