报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
汇率变动对现金及现金等价物的影响(万元),198,39,-26,68,82,23,-45,-88,-44,105,37,42,-6,12,8,-31,-13,25,1,-1,,-0,,-1,,
现金及现金等价物净增加额(万元),-34064,-114118,-108996,41013,-82571,-72872,-74763,6172,-85849,30997,-56625,21306,-60973,21204,-45164,10298,-42688,31533,-15085,7553,-13530,6048,-12338,7661,-11014,
加:期初现金及现金等价物余额(万元),197852,197852,197854,156839,156839,156839,156839,150666,150666,119669,119669,98363,98363,77159,75547,66859,66859,35325,35325,27772,27772,21725,21725,14063,14063,
期末现金及现金等价物余额(万元),163788,83734,88858,197852,74267,83966,82075,156839,64817,150666,63044,119669,37390,98363,30383,77157,24170,66859,20240,35325,14242,27772,9387,21725,3050,
净利润(万元),,13023,,32054,,9972,,23349,6883,19172,6217,16794,5413,14842,3550,13476,4793,11124,4192,7884,2550,6162,,4588,945,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,926,,1947,,-690,,5802,4620,3062,2463,3066,2520,1968,2645,1184,465,911,909,715,747,407,,402,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,767,,1514,,729,,1334,665,1162,560,989,484,875,425,789,397,964,467,866,443,822,,753,372,
无形资产摊销(万元),,122,,407,,225,,545,315,562,270,500,239,375,178,361,178,301,100,190,97,202,,209,104,
长期待摊费用摊销(万元),,44,,85,,45,,91,45,91,45,91,45,91,45,45,,,,,0,0,,1,-1,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,47,,86,,35,,141,105,2,2,12,1,30,30,330,339,82,8,4,4,41,,-8,-0,
固定资产报废损失(万元),,,,,,0,,,,,,,,,,,,,,,,0,,,,
公允价值变动损失(万元),,250,,,,,,,,,,,,,,,,,,,,0,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,-697,-872,-618,-683,-412,-543,-461,-461,-260,-332,-187,-171,,-82,,
投资损失(万元),,-9,,3,,2,,0,,,,-18,-1,,,,,-2,,-2,,-41,,-82,-26,
递延所得税资产减少(万元),,-86,,-773,,-649,,-73,-185,216,182,-541,-302,-165,-454,24,-30,-88,-115,-126,2,-30,,5,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
存货的减少(万元),,10493,,-9128,,5186,,11448,10283,14689,11884,-7070,-774,5821,-1330,-3030,-17541,-3689,-10481,-9600,-5606,-2950,,2642,-2029,
经营性应收项目的减少(万元),,-78414,,19713,,-22311,,-29673,-64132,-6342,-45703,-27683,-58277,-43064,-68475,-22008,-13296,-13485,-19460,-11717,-18312,-3983,,-5422,-8696,
经营性应付项目的增加(万元),,-45063,,10746,,-49416,,10963,-31856,3841,-27406,42242,-6833,52577,22764,26205,-12124,34213,3520,24427,10702,9922,,6554,462,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,-1194,,1197,404,4593,3125,-1495,1252,-4452,-3981,-31,116,248,-326,-674,-334,71,,333,208,
经营活动产生现金流量净额(万元),,-97900,,56652,,-58064,,25124,-72853,41049,-49058,26017,-56851,28216,-45015,16801,-37166,30119,-21447,11636,-9894,10452,,9895,-8660,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
现金的期末余额(万元),163788,83734,88858,197852,74267,83966,82075,156839,64817,150666,63044,119669,37390,98363,30383,77157,24170,66859,20240,35325,14242,27772,9387,21725,3050,
现金的期初余额(万元),197852,197852,197854,156839,156839,156839,156839,150666,150666,119669,119669,98363,98363,77159,75547,66859,66859,35325,35325,27772,27772,21725,21725,14063,14063,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
现金及现金等价物的净增加额(万元),-34064,-114118,-108996,41013,-82571,-72872,-74763,6172,-85849,30997,-56625,21306,-60973,21204,-45164,10298,-42688,31533,-15085,7553,-13530,6048,-12338,7661,-11014,

