报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,-288,,,,-6,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,6142,,-9125,,-3532,,-9484,,13740,,,,14120,,,5179,,,,-1796,,,,19643,,,,6545,-9,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,17206,,28979,,12655,,18581,,13818,,,,12619,,,7489,,,,8258,,,,7021,,,,3275,2251,1703,584,264,
无形资产摊销(万元),,3823,,5828,,2671,,5498,,5514,,,,3652,,,1768,,,,2728,,,,1533,,,,1507,1079,843,706,766,
长期待摊费用摊销(万元),,889,,1017,,351,,418,,212,,,,174,,,337,,,,23,,,,169,,,,186,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-177,417,313,133,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,144,,-2927,,-11,,11,,-30,,,,-20,,,3,,,,117,,,,11,,,,0,0,0,,,
固定资产报废损失(万元),,1,,-36,,15,,47,,196,,,,916,,,,,,,,,,,3,,,,,,29,396,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,11633,,32645,,16296,,16153,,10013,,,,9666,,,14465,,,,13261,,,,13362,,,,11161,2308,2586,3355,154,
投资损失(万元),,-29190,,-6331,,-2901,,-6681,,-2792,,,,-3120,,,-8041,,,,174,,,,-5476,,,,-504,-30,,-62,-4,
递延所得税资产减少(万元),,-4371,,-5283,,-5158,,-2976,,-5074,,,,2095,,,-5096,,,,1421,,,,-2589,,,,-13291,,,,,
递延所得税负债增加(万元),,-246,,429,,-1,,-1,,-2,,,,-1,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-82621,,24108,,18716,,52961,,82375,,,,-111420,,,-45497,,,,36005,,,,-8038,,,,-44523,-50436,-102507,-2904,-22373,
经营性应收项目的减少(万元),,-45237,,-176438,,-4965,,162587,,-288223,,,,-239640,,,-6908,,,,-23328,,,,-35626,,,,-178625,-156324,-169045,-191258,-50168,
经营性应付项目的增加(万元),,86582,,121456,,-36372,,-138270,,141819,,,,288677,,,155918,,,,-50693,,,,-13702,,,,138571,112711,149082,194307,59854,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,-23203,,-28966,,-11266,,-2427,,8780,,,,-1119,,,-5465,,,,-8,,,,-1174,,,,141,-1197,9341,403,143,
经营活动产生现金流量净额(万元),,-26274,,27632,,1365,,129258,,9140,,,,11262,,,128449,,,,-12758,,,,-44445,,,,-68190,-63277,-77555,37074,-18676,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,23718,,25283,,7318,,54924,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),512661,411712,336132,270827,150004,243974,178083,251957,162696,256609,,,,113873,,,196921,,,,79938,,,,132740,,,,128671,82213,179284,91023,10866,
现金的期初余额(万元),270827,270827,270827,251957,251957,251957,253813,256609,256609,113873,,,,151404,,,79938,,,,132740,,,,128671,,,,179284,179193,72226,10582,13915,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,270,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,270,361,18797,284,,
现金及现金等价物的净增加额(万元),241834,140885,65305,18870,-101954,-7983,-75730,-4651,-93912,142735,2311,-53503,350,-37530,-133452,-120023,116983,99322,18237,3930,-52802,-69313,-28250,-66395,4068,-7227,-36144,92575,-50883,-97323,88496,80157,-3049,

