报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
支付的各项税费(万元),5534,4691,2470,10854,9692,8582,5437,9559,5278,3383,2308,8948,5794,2926,1375,9862,5273,2868,1703,10930,9238,10073,6453,2375,6334,7499,6451,
支付的其他与经营活动有关的现金(万元),37847,42103,25570,35293,32727,18401,9361,20778,15364,8963,3449,21026,15873,11439,4897,16271,12693,7944,4286,12086,10703,9663,8648,4595,8084,7960,6252,
经营活动现金流出小计(万元),207598,153451,79093,256146,199550,133860,73441,167329,118351,74184,33541,154734,110647,73045,42811,135820,96226,63574,34617,125530,105854,92162,103364,37745,80336,76656,77100,
经营活动产生的现金流量净额(万元),-11618,-19605,-9603,-14119,-28164,-28167,-26445,15676,-742,-6507,-3224,16891,5651,-1798,-15363,18171,-343,-1718,-6524,10314,12752,12165,11720,1929,10546,14487,-880,
收回投资所收到的现金(万元),44403,23955,22536,75898,63492,50650,44800,133500,111000,73000,47000,105700,54000,36000,19000,,,,,7,,,100,,37273,4000,12015,
取得投资收益所收到的现金(万元),603,112,32,1423,12977,353,155,763,586,479,166,966,618,418,271,612,612,116,,1489,281,954,,,1533,636,445,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,0,,,,3,3,,,,,,,0,,,,3,,4,7,1,4,50,10,
处置子公司及其他营业单位收到的现金净额(万元),,,,1415,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,16,,10,,,,,,,,,,,,,,,,,,8064,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),45007,24066,22568,78736,76485,51003,44965,134267,111589,73479,47166,106666,54618,36418,19271,612,612,116,0,1499,281,958,107,1,46873,4686,12470,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7788,5748,3408,29764,20702,12169,8908,8937,4579,2784,1490,15393,13886,13231,3791,7420,6112,5526,5182,3485,8909,9401,16222,7487,9352,291,3350,
投资所支付的现金(万元),54605,23839,22196,100206,87973,79902,58322,118600,101500,73500,46000,133700,80200,51000,19000,,,,,4500,330,2914,100,,37530,4200,12770,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,5789,5789,5213,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),701,,691,25,4,25,4,252,,,,,,,,,1,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),63093,29587,26294,129996,108680,92097,73022,133577,111292,76284,47490,149093,94086,64231,22791,7420,6113,5526,5182,7985,9239,12314,16322,7487,46882,4491,16120,
投资活动产生的现金流量净额(万元),-18087,-5521,-3726,-51260,-32195,-41093,-28057,689,296,-2805,-324,-42427,-39468,-27813,-3519,-6808,-5501,-5410,-5182,-6485,-8958,-11357,-16215,-7486,-8,196,-3650,
吸收投资收到的现金(万元),5519,5519,,1500,1500,750,,,,0,,38735,38735,38735,38735,,,,,,,,,,18453,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,1500,,,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),53138,42779,3917,132124,80059,69707,43984,3000,1000,1000,1000,14760,14760,14260,14260,38398,35398,12400,6000,15500,16900,20870,28216,7564,29187,45500,59941,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,0,,,47,,,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),58657,48297,3917,133624,81560,70457,43984,3047,1000,1000,1000,53495,53495,52995,52995,38398,35398,12400,6000,15500,16900,20870,28216,7564,47640,45500,59941,
偿还债务支付的现金(万元),38201,31612,5000,52500,14500,7500,7500,,,,,35074,34314,29314,4000,44637,29868,10870,5000,16447,11745,17494,27934,8687,45300,50573,56365,
分配股利、利润或偿付利息所支付的现金(万元),8815,7288,1084,7016,5875,1006,81,4265,4169,12,,419,416,386,225,4961,4667,4226,951,5165,5102,4967,5046,4529,1637,6900,2644,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1,,,6989,27,,25,,4,,,633,255,255,141,41,41,20,,24,77,170,,,,,,
筹资活动现金流出小计(万元),47018,38901,6084,66505,20402,8506,7606,4265,4173,12,0,36125,34985,29954,4366,49640,34576,15117,5951,21636,16924,22631,32980,13216,46937,57472,59009,
筹资活动产生的现金流量净额(万元),11639,9397,-2167,67118,61157,61951,36378,-1218,-3173,988,1000,17370,18510,23041,48629,-11242,822,-2717,49,-6136,-24,-1761,-4764,-5651,703,-11972,931,
汇率变动对现金及现金等价物的影响(万元),19,1,-12,28,32,9,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-18047,-15728,-15507,1768,831,-7300,-18125,15148,-3618,-8324,-2548,-8166,-15307,-6571,29747,121,-5021,-9845,-11657,-2307,3771,-953,-9259,-11208,11241,2711,-3599,
加:期初现金及现金等价物余额(万元),50325,50325,50325,48558,58995,48558,49306,10314,10314,10314,10314,18481,18481,18481,18469,18359,18359,18359,18359,20667,16896,17849,27108,27108,15866,13156,16754,
期末现金及现金等价物余额(万元),32278,34597,34818,50325,59826,41257,31181,25462,6697,1991,7766,10314,3174,11910,48216,18481,13338,8514,6702,18359,20667,16896,17849,15899,27108,15866,13156,
净利润(万元),,-4899,,17832,,8209,,13910,,4412,,16151,,4840,,17216,,4673,,13434,13329,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,1333,,4569,,4127,,1307,,1741,,2206,,644,,921,,866,,1683,2286,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,3116,,5928,,2965,,2939,,1113,,2191,,1079,,2279,,1186,,1517,1217,,,,,,,
无形资产摊销(万元),,803,,1383,,671,,647,,223,,262,,95,,214,,114,,182,178,,,,,,,
长期待摊费用摊销(万元),,330,,489,,211,,311,,118,,134,,43,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-8,,-880,,,,,,,,,,,,-0,,,,-1,,,,,,,,
固定资产报废损失(万元),,1,,23,,16,,23,,5,,27,,16,,21,,9,,6,16,,,,,,,
公允价值变动损失(万元),,,,1,,1,,-1,,,,,,,,,,,,,5,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,1879,,3143,,1198,,171,,13,,342,,305,,1360,,738,,815,116,,,,,,,
投资损失(万元),,-420,,-329,,-249,,-1624,,-598,,-778,,-57,,-881,,-178,,-1728,-1174,,,,,,,
递延所得税资产减少(万元),,-489,,-804,,-747,,-38,,-260,,555,,-97,,-11,,-3,,-289,-404,,,,,,,
递延所得税负债增加(万元),,182,,196,,61,,141,,66,,127,,60,,106,,55,,39,,,,,,,,
存货的减少(万元),,-23706,,-4598,,-17307,,-22618,,-13736,,-1525,,-1160,,3227,,3137,,-6818,-3653,,,,,,,
经营性应收项目的减少(万元),,-33474,,-50356,,-25303,,18380,,2931,,-17009,,-8551,,-1761,,-5186,,-8970,-12587,,,,,,,
经营性应付项目的增加(万元),,35746,,9285,,-2018,,2129,,-2535,,14210,,983,,-4520,,-7131,,10445,13425,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-19605,,-14119,,-28167,,15676,,-6507,,16891,,-1798,,18171,,-1718,,10314,12752,,,,,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),32278,34597,34818,50325,59826,41257,31181,25462,6697,1991,7766,10314,3174,11910,48216,18481,13338,8514,6702,18359,20667,16896,17849,15899,27108,15866,13156,
现金的期初余额(万元),50325,50325,50325,48558,58995,48558,49306,10314,10314,10314,10314,18481,18481,18481,18469,18359,18359,18359,18359,20667,16896,17849,27108,27108,15866,13156,16754,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-18047,-15728,-15507,1768,831,-7300,-18125,15148,-3618,-8324,-2548,-8166,-15307,-6571,29747,121,-5021,-9845,-11657,-2307,3771,-953,-9259,-11208,11241,2711,-3599,

