报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-03-31,2012-12-31,2011-12-31,2010-12-31,
购买商品、接受劳务支付的现金(万元),1701857,1096702,635710,2057126,1434833,927204,483998,1749303,1204783,825217,336383,1387335,471587,369315,242432,921685,534395,382628,175297,643701,476495,343480,143770,619977,,,374959,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),523884,337703,179613,610147,398762,269178,167913,525872,361831,243338,133337,457072,222041,150937,88627,277698,192972,128497,75448,238404,163860,111773,70725,182329,,,167445,,
支付的各项税费(万元),512003,364803,185727,531727,403840,278797,154665,505322,389627,268437,121420,430926,317707,234562,94358,324387,260911,186369,74526,345604,249674,174950,79770,296882,,,292282,,
支付的其他与经营活动有关的现金(万元),201479,100641,52430,235369,148162,84098,36357,172607,122541,83383,40725,176520,84786,37473,21397,125407,84522,59794,38471,178606,91157,73621,24302,300441,,,994807,,
经营活动现金流出小计(万元),2939221,1899848,1053481,3434370,2385597,1559277,842933,2953104,2078782,1420376,631865,2451852,1096121,792287,446814,1649177,1072800,757288,363741,1406315,981187,703824,318567,1399629,272000,1698500,1829492,811900,
经营活动产生的现金流量净额(万元),2455772,1481999,625281,2840957,2282443,1410571,616137,2679726,2066461,1281375,581450,1675274,1380351,777578,342062,1078614,886682,386186,212937,1095421,820610,442864,219527,1782397,1054253,485544,119293,1222113,
收回投资所收到的现金(万元),1626,1626,31707,,,,,440,,,,27644,10361,10256,7304,54221,18121,18007,17955,45000,55206,27843,9826,38791,,,422888,,
取得投资收益所收到的现金(万元),67492,13352,13211,47283,18300,1938,,43118,27701,2308,1801,92816,69830,61794,2908,41140,40891,35160,482,44754,23871,15403,959,16799,,,5981,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),53,38,16,330,72,50,24,564,294,266,250,10953,3687,3621,60,1730,85,20,16,22213,176,222,1,6216,,,565,,
处置子公司及其他营业单位收到的现金净额(万元),70831,70831,70831,,,,,,,,,5543,,,,,,,,7073,-5727,,,1230,,,,,
收到的其他与投资活动有关的现金(万元),189459,92104,75741,264809,171990,92330,11018,58236,61110,41034,16459,180828,19196,32136,18115,79708,37018,20555,2682,12493,28179,25382,8163,21077,,,498885,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),329461,177950,191506,312422,190361,94318,11042,102358,89105,43608,18510,317784,103073,107807,28387,176799,96116,73742,21136,131533,101705,68850,18949,84113,11300,109500,928319,204000,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1096772,832279,415692,1663059,1116642,807805,390492,1914295,1378071,849994,470956,1790546,970769,709137,364756,1186844,1072787,732839,306108,1245797,1136106,860877,195326,1019301,154400,874400,1139531,712700,
投资所支付的现金(万元),643012,27800,,55470,35800,25821,,49874,32438,3978,3960,86497,56471,49489,7726,53588,53651,47412,683563,80713,110001,53492,9078,240273,43300,213600,423437,571100,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,23502,23268,23268,,553633,240000,240000,,300000,,,,961219,970020,970020,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),207954,89014,75897,208596,92587,30418,10335,37303,24458,21820,8023,65019,29293,29218,775,42361,7148,6185,455,214556,2034,1867,148,11243,,,3880,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),1947738,949093,491590,1950627,1268297,887312,400827,2555104,1674967,1115792,482939,2242062,1056533,787845,373257,2244012,2103605,1756455,990126,1541067,1248141,916237,204551,1270817,201600,1098500,1566848,1289100,
投资活动产生的现金流量净额(万元),-1618277,-771143,-300084,-1638205,-1077936,-792994,-389785,-2452746,-1585862,-1072184,-464429,-1924278,-953460,-680038,-344870,-2067213,-2007489,-1682713,-968991,-1409534,-1146436,-847387,-185602,-1186704,-190221,-988942,-638529,-1085137,
吸收投资收到的现金(万元),1375489,5747,400,313353,310646,308428,303994,110319,108209,21620,980,114185,112653,96337,80976,209866,209866,37107,25272,3237631,1125884,1102406,,87601,16200,125600,311850,0,
其中：子公司吸收少数股东投资收到的现金(万元),134420,5747,400,313353,310646,308428,303994,110319,108209,21620,980,114185,112653,96337,80976,209866,209866,37107,25272,64906,66884,43406,,87601,,,311850,,
取得借款收到的现金(万元),4243454,3147963,1398903,4640367,3337379,2303931,936867,6811091,4652299,3137315,1205022,6060089,2669968,2244095,1461798,2419018,1614835,1189315,100801,2914632,2509500,2041266,547250,2952281,387700,3785500,4607776,4440400,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,197000,,
收到其他与筹资活动有关的现金(万元),78900,78900,48816,57720,42190,42190,,526391,26391,26391,14301,57500,,,,,,,,354114,94876,94876,,1655,,,,,
筹资活动现金流入小计(万元),5697844,3232611,1448119,5011440,3690215,2654550,1240861,7447801,4786900,3185327,1220303,6231774,2782621,2340433,1542774,2628884,1824701,1226422,126073,6506377,3730260,3238548,547250,3389139,403900,4326300,5117643,5036100,
偿还债务支付的现金(万元),4419431,3037471,1506239,4451934,3253814,2185095,1026323,6003613,3943530,2775321,1196875,5017830,2548780,1943725,1337797,2336544,1828270,938740,387071,2793101,2388727,1996819,457320,2931371,1160700,1736600,3381209,3890100,
分配股利、利润或偿付利息所支付的现金(万元),1386359,1045350,226701,1613479,1311521,677607,229489,1467015,1153270,648142,217949,1271649,741091,388337,132020,1138681,943137,746534,97091,1002261,833306,742135,109539,883184,,,803498,,
其中：子公司支付给少数股东的股利、利润(万元),322411,222289,,290715,259363,177902,,238816,221286,173059,,138543,123994,99858,,99166,87442,62915,,107269,96884,72911,,80160,,2016800,101419,422200,
支付其他与筹资活动有关的现金(万元),60942,62850,56706,37029,1764,1008,208,2196,1588,1361,1197,1119,435,6857,46,158969,4903,2620,1055,450003,433774,211498,92,181,,,,,
筹资活动现金流出小计(万元),5866732,4145671,1789646,6102443,4567099,2863710,1256020,7472823,5098388,3424824,1416021,6290598,3290306,2338919,1469863,3634194,2776310,1687893,485218,4458901,3655808,2950452,730740,3814736,1333800,4283100,4184707,5366200,
筹资活动产生的现金流量净额(万元),-168888,-913060,-341527,-1091002,-876884,-209160,-15159,-25023,-311489,-239498,-195717,-58824,-507685,1514,72911,-1005311,-951609,-461471,-359145,2047476,74452,288096,-183490,-425597,-929938,43262,932937,-330122,
汇率变动对现金及现金等价物的影响(万元),9367,-889,-6308,16776,11724,-3754,-12671,-16039,-10289,-2762,-3541,15352,2807,708,-1839,15515,12171,8915,8492,-1423,-202,-812,55,-2496,,,-3079,,
现金及现金等价物净增加额(万元),677974,-203093,-22638,128526,339347,404662,198522,185918,158822,-33068,-82238,-292476,-77986,99761,68264,-1978395,-2060245,-1749084,-1106707,1731941,-251576,-117239,-149511,167600,-66083,-461349,410622,-195486,
加:期初现金及现金等价物余额(万元),1163772,1163772,1163772,1035246,1035246,1035246,1031571,845653,845653,845653,845653,1138130,931645,717859,931645,2696255,2904345,2904345,2671217,939276,939276,939276,939276,771677,,,822404,,
期末现金及现金等价物余额(万元),1841746,960679,1141134,1163772,1374593,1439908,1230094,1031571,1004475,812585,763415,845653,853659,817621,999909,717859,844100,1155261,1564510,2671217,687701,822037,789766,939276,,,1233026,,
净利润(万元),,,,1368168,,,,1279691,,,,917034,,,,761654,,,,676357,,,159576,516895,,,524300,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,,,10719,,,,29862,,,,15628,,,,4351,,,,4529,,,2325,7789,,,8916,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,,738706,,,,669741,,,,424768,,,,304726,,,,287835,,,55339,234386,,,233992,,
无形资产摊销(万元),,,,36645,,,,30374,,,,28533,,,,17011,,,,15349,,,3386,13065,,,7745,,
长期待摊费用摊销(万元),,,,20265,,,,21136,,,,14258,,,,9160,,,,7994,,,978,4569,,,20804,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,3354,,,,624,,,,1489,,,,1228,,,,2522,,,330,1552,,,2464,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,-1608,,,,-20744,,,,-12041,,,,-1501,,,,35416,,,10524,-16341,,,14089,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,598624,,,,626518,,,,379813,,,,271542,,,,313574,,,65998,275121,,,207898,,
投资损失(万元),,,,-104456,,,,-231214,,,,-112772,,,,-51689,,,,-60263,,,6904,-32598,,,-25661,,
递延所得税资产减少(万元),,,,-24190,,,,13167,,,,-18917,,,,-862,,,,-772,,,-219,-880,,,-2131,,
递延所得税负债增加(万元),,,,1660,,,,-2140,,,,-28390,,,,5194,,,,7702,,,4639,24259,,,22558,,
存货的减少(万元),,,,-181767,,,,-314322,,,,-224889,,,,-134877,,,,-65490,,,-50065,-89149,,,-4304,,
经营性应收项目的减少(万元),,,,153235,,,,8498,,,,6738,,,,-158889,,,,-45709,,,-68477,818568,,,-452000,,
经营性应付项目的增加(万元),,,,327647,,,,566353,,,,281224,,,,45115,,,,-89118,,,27857,23494,,,-441121,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,,,2840957,,,,2679726,,,,1675274,,,,1078614,,,,1095421,,,219527,1782397,,,119293,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),1841746,960679,1141134,1163772,1374593,1439908,1230094,1031571,1004475,812585,763415,845653,853659,817621,999909,717859,844100,1155261,1564510,2671217,687701,822037,789766,939276,,,1233026,,
现金的期初余额(万元),1163772,1163772,1163772,1035246,1035246,1035246,1031571,845653,845653,845653,845653,1138130,931645,717859,931645,2696255,2904345,2904345,2671217,939276,939276,939276,939276,771677,,,822404,,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),677974,-203093,-22638,128526,339347,404662,198522,185918,158822,-33068,-82238,-292476,-77986,99761,68264,-1978395,-2060245,-1749084,-1106707,1731941,-251576,-117239,-149511,167600,-66083,-461349,410622,,

