报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),48772,27867,16291,53880,34972,24617,15640,41875,27338,19410,13310,34368,20945,15331,26336,13135,,12509,,11020,21740,,18168,6739,13834,4747,5682,5321,3028,
支付的各项税费(万元),54523,41506,17270,60141,54254,41159,17455,37735,37524,28063,12987,32576,22428,20297,19875,12491,,15502,,17319,28147,,10268,12534,23505,7930,14537,24838,250,
支付的其他与经营活动有关的现金(万元),21729,5033,12434,45930,29229,20141,4459,22203,17510,11951,6125,41288,27003,15707,48980,17585,,8095,,12378,13742,,16370,5596,8466,3022,9777,2584,864,
经营活动现金流出小计(万元),575006,472038,328538,950697,620144,479167,327021,768464,467035,354067,218793,497511,313816,210197,312716,149450,,186032,,213347,368137,,231810,135115,219422,101837,178899,87650,68259,
经营活动产生的现金流量净额(万元),281556,122664,75872,362653,206549,136477,85815,317060,158490,112555,91266,267483,117566,96218,131839,50809,133857,46670,88549,37472,159702,94230,123011,54471,86602,54078,74773,64259,36136,
收回投资所收到的现金(万元),,,,,,,,,,,,750,750,250,23156,23000,,,,10000,100700,,145319,42819,,,9984,5121,,
取得投资收益所收到的现金(万元),15816,3085,1952,17482,3326,2823,2252,9376,1909,1444,2896,5617,640,315,6292,2241,,411,7885,224,10751,,5910,720,4729,17,115,25,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),76,31,6,66,61,34,1,10,5,2,2,78,248,236,160,123,,42,107,17,18,,486,20,94,8,80,35,118,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,10374,10374,,,,
收到的其他与投资活动有关的现金(万元),48,,441,2728,1703,156,83,,26565,212,60,1419,967,835,7949,3807,,8948,,60,15231,,6795,136,136785,51918,1494,18707,146,
减少质押和定期存款所收到的现金(万元),,,,,,,,498,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),15940,3116,2399,20276,5090,3014,2336,9883,28479,1658,2957,7864,2605,1637,37558,29170,,9402,17992,10302,126700,,158510,43694,151982,62318,11673,23888,264,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),732726,387618,155125,591719,308840,167060,79882,400873,268010,167125,87582,349862,246675,179245,388699,174041,,199008,207783,62878,119976,,153377,54168,321348,154776,334008,151375,168185,
投资所支付的现金(万元),11360,880,880,33701,17010,17000,19000,7152,16032,3491,,10685,5829,,8794,4090,,9766,5195,19484,133728,,5250,18328,30511,1802,17652,18441,7983,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,1237,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,-702,1,,-491,,,,2135,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,1474,66,6624,6078,4011,710,,4519,2534,1178,5000,6247,1581,2585,639,,4233,,878,,,132800,1403,167819,51000,16270,1473,15979,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,35872,,,,,,,,,,,
投资活动现金流出小计(万元),744086,389972,156071,632045,331929,188070,99592,408025,288562,173150,88760,364845,258752,180826,399587,178771,,213007,251320,83240,253704,,291427,73899,519678,207579,367930,172527,192147,
投资活动产生的现金流量净额(万元),-728146,-386856,-153673,-611769,-326839,-185057,-97256,-398141,-260083,-171491,-85803,-356982,-256147,-179189,-362029,-149600,-522844,-203605,-233328,-72939,-127004,-51945,-132916,-30205,-367695,-145261,-356257,-148639,-191882,
吸收投资收到的现金(万元),81712,73049,6081,29814,11704,6172,2950,79284,31970,21505,5530,64445,17021,26196,10150,,,6605,,123560,6684,,2871,1190,12472,3920,344155,43449,48817,
其中：子公司吸收少数股东投资收到的现金(万元),42128,33029,,,590,,,,,,,,,,,,,,11084,,6684,,2871,1190,12472,,,,,
取得借款收到的现金(万元),1106779,765724,233233,917830,572334,363661,242663,1090739,724152,470325,202427,968478,623207,512257,579127,245357,,263877,382980,180583,237185,,163840,78000,213048,106251,402375,152281,229800,
发行债券收到的现金(万元),,99900,,149888,149888,,,,,,,,,,,,,,125558,,,,,,200000,,,,,
收到其他与筹资活动有关的现金(万元),21323,16872,30,10,472,1124,9,8500,6043,,,27087,23,1136,347,9639,,296,,15081,,,,77,,,10303,,246,
筹资活动现金流入小计(万元),1209814,955545,239343,1097541,734397,370956,245622,1178523,762165,491830,207957,1060010,640251,539589,589624,254996,,270778,519622,319223,243869,,166711,79267,425519,110171,756833,195730,278863,
偿还债务支付的现金(万元),643237,574850,144327,675759,502850,269226,152396,850517,528068,357571,118606,732009,402645,343299,431894,195209,,92856,176261,49813,97374,,94408,40788,248519,68643,202312,70400,98600,
分配股利、利润或偿付利息所支付的现金(万元),95408,63549,32720,162348,131479,58500,32294,150489,110735,48471,23355,124777,84520,39061,90793,43273,,33762,-79708,35114,73089,,72591,49022,48262,22711,41239,28541,11190,
其中：子公司支付给少数股东的股利、利润(万元),25229,5965,,,,,,9800,,,,,,,,,,,6062,,18449,,11606,417,12233,,,,,
支付其他与筹资活动有关的现金(万元),27610,13948,15,217,216,216,216,82970,17599,10989,,48548,100,9007,2185,,,25,,7408,558,,235,3,1993,386,14038,2715,714,
筹资活动现金流出小计(万元),766254,652347,177062,838325,634545,327942,184905,1083977,656401,417031,141961,905334,487265,391368,524872,238482,,126643,258599,92336,171021,,167233,89813,298773,91740,257589,101655,110503,
筹资活动产生的现金流量净额(万元),443559,303198,62281,259217,99852,43014,60717,94546,105764,74799,65996,154676,152986,148221,64752,16514,405140,144136,261023,226888,72848,6345,-522,-10546,126746,18432,499244,94074,168360,
汇率变动对现金及现金等价物的影响(万元),-31,-8,-113,96,74,66,-185,-437,-371,-140,-751,-1511,-1212,-724,694,29,2639,63,700,1151,-37,-24,-73,-78,-1193,-913,-3285,14,,
现金及现金等价物净增加额(万元),-3062,38997,-15632,10197,-20363,-5499,49091,13029,3800,15722,70708,63666,13192,64527,-164743,-82248,16152,-12736,116244,192572,105509,48630,-10501,13642,-155540,-73664,214475,9708,12614,
加:期初现金及现金等价物余额(万元),233421,233421,235753,225321,225321,225321,225321,211003,212789,212789,212789,149124,149124,149124,313867,313867,283903,319782,166959,166965,61450,61450,71950,91957,247497,247491,33016,23308,10693,
期末现金及现金等价物余额(万元),230358,272418,220121,235518,204958,219822,274412,224032,216590,228512,283498,212789,162316,213651,149124,231619,302694,307045,283903,359538,166959,110056,61450,105599,91957,173826,247491,33016,23308,
净利润(万元),,119666,,182981,,,,157516,,,,110472,,70933,64708,,,,67461,,67480,,79602,,61899,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,,,4199,,,,2864,,,,15572,,37,-9,,,,281,,3378,,5285,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,63484,,119396,,,,105305,,,,101760,,52005,83827,,,,48688,,43816,,35206,,27206,,,,,
无形资产摊销(万元),,11856,,12200,,,,11899,,,,12029,,682,11582,,,,10363,,10924,,10675,,9058,,,,,
长期待摊费用摊销(万元),,371,,726,,,,446,,,,213,,113,511,,,,,,283,,922,,690,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-26,,-38,,,,1233,,,,-297,,2,-36,,,,0,,52,,111,,-16,,,,,
固定资产报废损失(万元),,52,,111,,,,,,,,-336,,58,807,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,36,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,45010,,87150,,,,78961,,,,76418,,33620,54679,,,,44844,,42302,,34247,,24912,,,,,
投资损失(万元),,-11649,,-22234,,,,-29507,,,,-21478,,-7741,-9165,,,,-7687,,-5069,,-10239,,-7687,,,,,
递延所得税资产减少(万元),,961,,-358,,,,-6942,,,,-4921,,318,160,,,,-16387,,-353,,-11,,13,,,,,
递延所得税负债增加(万元),,56,,2033,,,,2538,,,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,759,,-538,,,,-558,,,,516,,1107,295,,,,-13,,-1265,,-527,,128,,,,,
经营性应收项目的减少(万元),,-73171,,-135165,,,,-78781,,,,-15390,,-153622,52380,,,,-67752,,21129,,-40013,,-29283,,,,,
经营性应付项目的增加(万元),,-31939,,112191,,,,54537,,,,-7076,,98533,-127899,,,,8012,,-22976,,7755,,-319,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,173,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,122664,,362653,,,,317060,,,,267483,,96218,131839,,,,88549,,159702,,123011,,86602,,,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),230358,272418,220121,235518,204958,219822,274412,224032,216590,228512,283498,212789,162316,213651,149124,231619,302694,307045,283903,359538,166959,110056,61450,105599,91957,,,33016,23308,
现金的期初余额(万元),233421,233421,235753,225321,225321,225321,225321,211003,212789,212789,212789,149124,149124,149124,313867,313867,283903,319782,166959,166965,61450,61450,71950,91957,247497,,,23308,10693,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,173826,247491,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,247491,33016,,,
现金及现金等价物的净增加额(万元),-3062,38997,-15632,10197,-20363,-5499,49091,13029,3800,15722,70708,63666,13192,64527,-164743,-82248,16152,-12736,116244,192572,105509,48630,-10501,13642,-155540,-73664,214475,9708,12614,

