报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
支付给职工以及为职工支付的现金(万元),46316,31206,17368,56802,41657,27622,15005,54859,41466,27591,15710,53411,37640,22573,12057,51012,32252,22083,12305,52376,38821,24028,12915,44748,39506,26618,13391,44355,36921,25211,12035,51418,36622,23440,11425,40677,26855,17648,9084,37429,23473,16322,5505,33545,18001,13255,7371,26645,13641,8528,4913,20672,6526,3214,2650,
支付的各项税费(万元),13977,9529,4337,11486,8875,4657,1626,12801,8135,5397,2551,10464,6546,4147,1813,4897,3832,2337,207,5545,2863,1665,1676,7047,5423,4184,2735,4693,4659,3659,2268,6722,6569,5346,3289,13177,11635,9370,3646,12958,12235,9071,4686,18848,15196,11468,3092,15804,10725,7942,4980,14058,12319,7304,3344,
支付的其他与经营活动有关的现金(万元),3767,3039,1047,3468,1318,1054,274,3163,1269,1404,316,3657,1204,1698,739,10261,4469,5630,6261,117580,45801,32998,22013,108807,67028,39660,18367,162267,95056,77327,33362,142138,81733,54245,23611,117303,70057,49773,26070,110194,69094,43772,29070,192364,137704,83433,56050,48727,3067,1543,3724,4611,770,372,130,
经营活动现金流出小计(万元),205362,137619,66429,258091,187470,122389,64907,302981,209804,141854,72586,476634,339019,228948,109099,457038,320806,221704,99822,509716,397524,295231,165474,659732,530720,354909,184683,655688,445340,309336,137700,525332,391705,247765,110954,428202,299285,207957,104769,357077,239155,150262,74129,393343,291029,181501,106086,197114,73664,49407,25899,198796,126260,82005,36219,
经营活动产生的现金流量净额(万元),66590,46117,19864,89499,62983,46574,19936,81256,68022,50185,12763,130113,97449,60871,21295,112751,87281,44315,8729,25152,5171,28875,18199,84391,44763,29432,31500,-18494,-7745,-25475,-4017,-16365,-29495,-18828,203,17572,18320,3107,-6649,-17864,1372,5884,10933,-39543,-18213,-18406,-16724,-12756,21136,12073,4274,58919,36427,28170,18529,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,2500,,,,65,,,,0,,,,0,,,,0,0,0,0,550,772,772,234,0,,0,,0,,0,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,,133,133,133,,,,,,63,63,63,,0,,,,0,,,,800,800,0,0,222,,,,1400,,0,,0,,0,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8739,8761,8349,13148,13148,13148,4000,4854,4825,2855,,10252,10407,,,1,,,,289070,489,489,300,821,599,579,582,2481,2506,2503,768,6038,4947,3513,1419,2986,1704,1693,0,4570,2183,1867,0,48500,46927,40190,41972,6259,2251,930,210,195,,0,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,2992,84,0,0,,,,,0,,0,,0,,0,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,1568,500,500,500,6606,500,,,18448,18417,,,19377,19099,,,19762,9762,,,17086,17086,,,10753,10635,,,14646,0,0,0,18318,,,3015,1389,1068,1068,1068,319,319,319,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
投资活动现金流入小计(万元),8739,8761,8349,13148,13148,13148,4000,4854,4825,2855,0,11820,10907,500,500,6607,500,0,0,307651,19039,622,300,22698,19698,579,582,22370,12330,2566,768,23124,22033,3513,1419,13739,12339,1693,0,23008,3067,1867,0,67590,47698,40961,45221,9048,3319,1998,1278,514,319,319,,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6698,42,22,9626,2531,2397,2155,477,108,126,17,1068,397,221,219,701,146,90,,353,125,154,126,9197,8702,8632,3901,40116,32979,27385,18604,150145,101311,62471,22577,308944,175842,102503,77737,191295,101477,70166,37331,180875,106260,79188,58017,57438,18505,13085,299,116365,109564,42150,11243,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,2500,,,,0,0,0,0,550,550,550,192,0,,0,,0,,0,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,-369,,,,,,,,,,,,0,,,,0,,,,0,,0,,,,,500,0,,0,,0,,0,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,522,,,,13,,0,,,,,,191,,0,,0,,0,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
投资活动现金流出小计(万元),6698,42,22,9626,2531,2397,2155,477,108,126,17,1068,397,221,219,701,146,90,0,-16,125,154,126,9197,8702,8632,3901,40117,32979,27385,18604,150145,101311,62471,22577,311967,175842,102503,77737,191308,101477,70166,37331,181425,106810,79738,58709,57629,18505,13085,299,116365,109564,42150,11243,
投资活动产生的现金流量净额(万元),2041,8720,8327,3522,10617,10750,1845,4377,4717,2729,-17,10752,10510,278,281,5905,354,-90,0,307667,18915,468,174,13501,10996,-8053,-3319,-17747,-20649,-24820,-17837,-127022,-79278,-58958,-21158,-298228,-163503,-100810,-77737,-168300,-98410,-68299,-37331,-113836,-59112,-38777,-13488,-48581,-15186,-11086,980,-115851,-109244,-41831,-11243,
吸收投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,,,152575,,,,4500,4500,,,0,0,0,0,1000,1000,1000,1000,172375,,0,,0,,0,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,4250,,,,0,,,,4500,4500,,,0,0,0,,,,,,0,,0,,0,,0,,
取得借款收到的现金(万元),27415,27138,26992,236319,13257,,,44592,14532,14211,14323,17252,500,500,,3000,3000,3000,,161012,146707,126709,85040,393492,261961,195273,77050,362880,244750,165806,106409,305887,174698,111715,47090,513023,352458,241358,197842,287327,188983,84752,55288,282863,229436,78460,49780,81112,33000,28000,8000,89200,79200,22200,2500,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,21466,6905,10911,11000,30839,36873,17005,13610,33707,35705,31143,20000,40000,49699,9699,,0,152575,152575,152575,5717,5754,5788,5803,94935,70000,70000,0,3111,3400,3400,181,3750,50,50,,5600,,0,,
筹资活动现金流入小计(万元),27415,27138,26992,236319,13257,0,0,44592,14532,14211,14323,17252,500,500,0,24466,9905,13911,11000,191851,183580,143714,98651,427200,297666,226416,97050,407129,294449,175505,106409,458462,327273,264290,199665,523239,362712,247146,203645,382262,258983,154752,55288,286974,233836,82860,50961,257237,33050,28050,8000,94800,79200,22200,2500,
偿还债务支付的现金(万元),26497,21638,4243,252476,25503,21278,3460,54124,30557,25777,1586,64750,54091,41572,3799,68211,51594,32834,12546,438158,165242,148981,101152,462141,319749,222653,122208,260015,144461,55762,31608,257710,155798,121203,52675,165834,130649,106629,86943,159454,151493,99375,40041,95507,74083,26290,20716,48790,18745,13745,5045,48987,12800,2800,,
分配股利、利润或偿付利息所支付的现金(万元),10799,7515,3176,12765,9553,6538,3205,13798,7940,6946,3347,14478,10267,6824,3933,20861,11821,8073,3777,29650,26343,16334,6091,72153,41676,38788,16468,77861,61599,42547,18913,64491,47655,33208,13817,49603,36773,25170,9900,57635,49350,40739,9398,48559,37079,28558,5004,14011,10116,8637,1689,14332,9782,6696,647,
其中：子公司支付给少数股东的股利、利润(万元),900,900,,,,,,,,,,,,,,0,,,,900,,,,,,,,,,,,0,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
支付其他与筹资活动有关的现金(万元),70931,67001,63815,41466,35726,27039,15173,76489,58292,55666,45774,74337,65012,24362,8745,50967,37072,22271,9528,33483,12797,10886,5123,25424,17945,11349,6752,54225,24056,16647,4460,38227,8511,5672,2857,11027,9168,5526,2761,5864,84,82,25,69,339,126,4,3105,,0,,328,,0,,
筹资活动现金流出小计(万元),108227,96154,71234,306707,70782,54855,21838,144411,96789,88388,50707,153565,129370,72758,16478,140039,100487,63178,25852,501291,204382,176202,112366,559717,379370,272791,145428,392101,230117,114956,54981,360428,211964,160083,69349,226464,176589,137325,99604,222953,200927,140196,49464,144135,111501,54974,25725,65906,28861,22382,6734,63647,22582,9496,647,
筹资活动产生的现金流量净额(万元),-80812,-69016,-44242,-70388,-57525,-54855,-21838,-99819,-82257,-74177,-36384,-136313,-128870,-72258,-16478,-115573,-90582,-49267,-14852,-309440,-20802,-32487,-13715,-132518,-81704,-46374,-48378,15028,64332,60549,51428,98034,115309,104207,130316,296775,186123,109822,104040,159309,58056,14556,5824,142839,122335,27886,25236,191331,4189,5668,1266,31153,56618,12704,1853,
汇率变动对现金及现金等价物的影响(万元),1405,14,-902,2466,2571,1039,-796,-2006,-2068,-871,-239,2380,372,587,32,3913,1909,1465,1399,558,262,2825,412,-948,-2498,-1482,-367,-108,139,22,-40,-2728,-319,-1448,-788,-1863,-899,-68,-14,-48,51,54,0,-1813,-2570,-1281,-810,-527,,0,,639,,0,,
现金及现金等价物净增加额(万元),-10776,-14164,-16953,25099,18646,3508,-853,-16192,-11586,-22133,-23878,6932,-20540,-10521,5130,6997,-1039,-3577,-4724,23937,3547,-319,5070,-35574,-28444,-26478,-20563,-21320,36077,10275,29534,-48080,6217,24972,108572,14257,40040,12051,19641,-26904,-38931,-47805,-20573,-12352,42440,-30577,-5786,129467,10138,6655,6520,-25140,-16199,-956,9139,
加:期初现金及现金等价物余额(万元),72428,72428,72428,47328,47328,47328,47328,63520,63520,63520,63520,56588,56588,56588,56588,49592,49602,49602,49602,25655,25655,25655,25655,61228,61228,61228,61238,82549,82549,82549,82549,130629,130629,130629,130629,116372,116372,116372,116372,143275,145189,145189,145189,155627,157897,157672,157672,26161,9695,0,9695,51300,25843,0,25843,
期末现金及现金等价物余额(万元),61652,58263,55475,72428,65975,50836,46475,47328,51935,41387,39643,63520,36048,46067,61719,56588,48563,46025,44878,49592,29201,25336,30725,25655,32784,34751,40675,61228,118626,92824,112083,82549,136846,155601,239201,130629,156412,128422,136013,116372,106258,97384,124616,143275,200337,127095,151886,155627,19833,0,16215,26161,9644,-956,34983,
净利润(万元),,34227,,36421,,20813,,41526,,20073,,56869,,29209,,63350,,27168,,-41657,,-69677,,-591864,,-72487,,-123835,,-64557,,-74933,,-31696,,283,,11539,,457,,1917,0,58621,0,38838,,34989,,9546,,24036,,12519,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,-282,,0,,0,,0,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
资产减值准备(万元),,6,,-88,,-58,,-507,,-91,,173,,-135,,32,,90,,116530,,-18,,465382,,35,,-35,,-1,,-181,,-1,,315,,,,-202,,-12,,-59,,-36,,365,,-149,,253,,0,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,19858,,41031,,19844,,38985,,19462,,39624,,19645,,39282,,19262,,52212,,25825,,63574,,31637,,62061,,29488,,51589,,22798,,35821,,15388,,42667,,19141,0,33601,0,16658,,24518,,6857,,20196,,5773,,
无形资产摊销(万元),,34,,70,,35,,55,,28,,49,,24,,51,,25,,16,,8,,16,,8,,12,,4,,3,,,,1,,0,,3,,2,,10,,4,,11,,4,,8,,2,,
长期待摊费用摊销(万元),,119,,,,,,,,0,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,2,,2,,3,,2,,14,,4,,8,,4,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,-1,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-773,,2,,2,,-188,,-347,,-3005,,,,27,,,,-16486,,-80,,31,,-554,,-2112,,-491,,-2663,,-1324,,78,,,,-2704,,-1867,,-22841,,-18057,,-4462,,-748,,-182,,2,,
固定资产报废损失(万元),,0,,-3107,,-3108,,3,,0,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,2,,,,0,,0,,,,,,0,,0,,0,,0,,
公允价值变动损失(万元),,,,,,,,,,0,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
财务费用(万元),,10865,,15733,,7230,,23034,,14512,,34591,,25422,,35546,,15568,,30246,,37683,,58989,,43447,,65708,,34978,,37724,,26749,,25024,,13920,,9378,,3753,,7802,,4933,,4260,,422,,3882,,756,,
投资损失(万元),,,,,,,,,,0,,0,,,,0,,,,-501,,-320,,-256,,-174,,-67,,-63,,,,,,0,,,,1387,,267,,-620,,-183,,-1023,,14,,-46,,98,,
递延所得税资产减少(万元),,,,-219,,-1,,14,,-30,,-59,,,,3,,3,,1,,1,,6826,,-2,,15,,22,,-6539,,0,,-198,,,,243,,70,,1093,,-42,,700,,452,,-182,,0,,
递延所得税负债增加(万元),,,,,,,,,,0,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,67,0,-512,0,,,-237,,-156,,23,,0,,
存货的减少(万元),,-2575,,-5697,,-3743,,-95,,-2518,,-2728,,-5822,,5825,,4879,,22802,,9795,,2615,,96,,14,,3716,,-12421,,-8929,,-8725,,-2123,,-11758,,-2756,,1369,,-4171,,-2037,,6212,,-1000,,208,,
经营性应收项目的减少(万元),,-11703,,1057,,-6210,,-4749,,-2269,,5763,,-8270,,2982,,-2912,,58220,,32607,,46998,,21014,,-54028,,-46908,,-19820,,-21504,,-30375,,-29084,,-102725,,-36302,0,-81886,0,-95034,,-90380,,-2886,,-28584,,-4454,,
经营性应付项目的增加(万元),,-3943,,4295,,11769,,-16822,,1365,,-1163,,798,,-34347,,-19768,,-24291,,-5991,,32080,,6149,,33910,,19093,,15598,,-4923,,-1476,,-6533,,47405,,21625,0,-36123,0,38693,,20808,,-7492,,40508,,13269,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,,,0,,0,,
其他(万元),,,,,,,,,,0,,,,,,,,,,-171940,,-959,,0,,263,,-137,,-758,,-4720,,,,-3177,,,,-2017,,-22,,,,-12,,0,,-6,,0,,0,,
经营活动产生现金流量净额(万元),,46117,,89499,,46574,,81256,,50185,,130113,,60871,,112751,,44315,,25152,,28875,,84391,,29432,,-18494,,-25475,,-16365,,-18828,,17572,,3107,,-17864,,5884,,-39543,,-18406,,-12756,,12073,,58919,,28170,,
债务转为资本(万元),,,,,,,,,,0,,,,,,,,,,423397,,,,0,,,,0,,,,0,,,,0,,,,0,,0,,,,,,0,,1744,,0,,2,,
一年内到期的可转换公司债券(万元),,,,,,,,,,0,,,,,,,,,,0,,,,0,,,,,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
融资租入固定资产(万元),,50454,,71523,,70328,,,,0,,,,,,,,,,138879,,,,20514,,20486,,47552,,,,63245,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
现金的期末余额(万元),61652,58263,55475,72428,65975,50836,46475,47328,51935,41387,39643,63520,36048,46067,61719,56588,48563,46025,44878,49592,29201,25336,30725,25655,32784,34751,40675,61228,118626,92824,112083,82549,136846,155601,239201,130629,156412,128422,136013,116372,106258,97384,124616,143275,200337,127095,151886,155627,19833,16350,16215,26161,9644,24887,34983,
现金的期初余额(万元),72428,72428,72428,47328,47328,47328,47328,63520,63520,63520,63520,56588,56588,56588,56588,49592,49602,49602,49602,25655,25655,25655,25655,61228,61228,61228,61238,82549,82549,82549,82549,130629,130629,130629,130629,116372,116372,116372,116372,143275,145189,145189,145189,155627,157897,157672,157672,26161,9695,9695,9695,51300,25843,25843,25843,
现金等价物的期末余额(万元),,,,,,,,,,0,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
现金等价物的期初余额(万元),,,,,,,,,,0,,0,,,,0,,,,0,,,,0,,,,0,,,,,,,,0,,,,0,,0,,,,,,0,,0,,0,,0,,
现金及现金等价物的净增加额(万元),-10776,-14164,-16953,25099,18646,3508,-853,-16192,-11586,-22133,-23878,6932,-20540,-10521,5130,6997,-1039,-3577,-4724,23937,3547,-319,5070,-35574,-28444,-26478,-20563,-21320,36077,10275,29534,-48080,6217,24972,108572,14257,40040,12051,19641,-26904,-38931,-47805,-20573,-12352,42440,-30577,-5786,129467,10138,6655,6520,-25140,-16199,-956,9139,

