报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9411,6382,3531,12066,9023,6073,3272,10907,8126,5522,2986,10032,7455,8212,3843,6842,5113,3451,1812,5669,4047,2569,1288,4370,3260,2204,1157,3969,2003,
支付的各项税费(万元),1923,1114,396,4763,3469,2316,1315,4564,3381,2417,1617,4180,3027,4446,2129,2454,1770,1053,484,1976,1382,974,616,2782,2103,1194,712,1694,834,
支付的其他与经营活动有关的现金(万元),5796,3817,1855,9409,6272,3686,1954,7945,4906,2731,1592,7220,4439,4806,2227,4194,3032,2210,1097,3601,2700,1707,515,3402,2431,3399,2275,3179,1605,
经营活动现金流出小计(万元),59555,36868,19804,87310,68463,44914,24700,90203,66480,45760,23558,79042,57887,60907,27526,60049,43532,27757,13783,54927,38212,24211,11531,46795,35330,23928,12194,50330,24973,
经营活动产生的现金流量净额(万元),4623,2943,-955,6688,-581,-1526,-2932,-2018,-1114,-1368,-1196,3899,3687,6023,3325,2270,3290,2024,-715,1765,2087,578,374,5993,3526,1942,174,1688,-132,
收回投资所收到的现金(万元),39399,9980,11100,37200,23100,14100,9000,3500,1500,1500,1500,3830,1430,3750,3750,8694,6784,,,1400,400,400,,,,,,,,
取得投资收益所收到的现金(万元),207,135,82,350,257,168,95,6,1,1,1,2,1,20,20,20,17,2,0,5,0,0,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,4,1,245,32,3,,53,43,32,7,5,5,9,6,1014,1011,1004,1001,65,1,1,1,14,14,14,14,81,48,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,424,360,60,60,,,479,200,140,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),39616,10119,11183,37795,23389,14271,9095,3983,1903,1593,1568,3837,1436,4258,3976,9868,7813,1006,1001,1469,401,401,1,14,14,14,14,81,48,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4277,2541,1117,11344,7843,5381,2380,11507,4340,3429,1539,3409,2340,11015,7266,8311,6065,3849,1696,7185,4901,4125,2584,3081,1996,798,192,3753,2372,
投资所支付的现金(万元),39700,7080,10000,35808,23408,13108,1000,15500,1500,1500,1500,3830,2130,1750,1750,10695,6785,,,1000,19,,,400,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),43977,9621,11117,47152,31251,18489,3380,27007,5840,4929,3039,7239,4470,12765,9016,19006,12850,3849,1696,8185,4921,4125,2584,3481,1996,798,192,3753,2392,
投资活动产生的现金流量净额(万元),-4361,498,66,-9357,-7862,-4218,5715,-23024,-3937,-3336,-1471,-3402,-3034,-8507,-5040,-9138,-5037,-2843,-694,-6715,-4520,-3724,-2583,-3466,-1982,-784,-179,-3671,-2345,
吸收投资收到的现金(万元),325,110,,135,120,,,33756,33756,,,,,2020,2020,5715,5715,5720,1,1,,,,6582,6582,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),325,110,,135,120,,,,,,,,,,,,,5,1,1,,,,,,,,,,
取得借款收到的现金(万元),24743,12275,7000,38619,28984,26484,16789,32611,20888,19766,10222,28456,17817,19165,10586,19349,10227,5453,3145,7797,5383,3500,2385,14098,12753,10548,6206,28036,10659,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,2000,,,,,50,50,,,,,,,,,,,,,
筹资活动现金流入小计(万元),25068,12385,7000,38754,29104,26484,16789,66367,54644,19766,12222,28456,17817,21185,12606,25114,15992,11173,3146,7799,5383,3500,2385,20680,19335,10548,6206,28036,10659,
偿还债务支付的现金(万元),22352,15359,5174,36654,23224,14867,8584,26279,14624,13613,8587,23551,15962,17798,13031,14006,9596,7546,1327,3648,2393,1479,493,22663,20135,12429,7569,18330,4391,
分配股利、利润或偿付利息所支付的现金(万元),2739,2451,341,3457,2918,2493,343,2661,2275,1840,335,2295,1703,1055,442,1386,981,894,131,761,409,322,19,749,451,332,173,4501,191,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,0,,1020,461,347,232,3095,2509,1172,508,1557,1163,1334,,34,34,,,70,70,,,,,,,447,,
筹资活动现金流出小计(万元),25090,17809,5515,41131,26602,17707,9159,32034,19408,16624,9430,27403,18828,20187,13474,15426,10611,8440,1458,4479,2871,1800,512,23413,20586,12761,7742,23279,4582,
筹资活动产生的现金流量净额(万元),-23,-5424,1485,-2376,2502,8778,7630,34333,35236,3142,2792,1053,-1011,998,-868,9689,5381,2734,1688,3319,2512,1700,1873,-2733,-1251,-2214,-1536,4758,6077,
汇率变动对现金及现金等价物的影响(万元),27,10,-14,19,17,-8,-46,-41,-26,-13,-2,28,8,24,-1,4,5,5,3,-15,8,7,0,-2,7,6,1,-41,-16,
现金及现金等价物净增加额(万元),267,-1973,581,-5027,-5924,3026,10367,9249,30159,-1575,123,1579,-351,-1463,-2584,2825,3638,1919,282,-1646,87,-1440,-335,-208,301,-1050,-1540,2733,3584,
加:期初现金及现金等价物余额(万元),9079,9079,9079,14106,14106,14106,14106,4857,4857,4857,4857,3278,3278,4741,4741,1916,1916,1916,1916,3562,3562,3562,3962,3770,3770,3770,3770,1037,3441,
期末现金及现金等价物余额(万元),9346,7106,9660,9079,8181,17132,24473,14106,35016,3282,4980,4857,2927,3278,2157,4741,5554,3835,2198,1916,3649,2123,3627,3562,4071,2721,2231,3770,7026,
净利润(万元),,98,,4830,,3078,,5531,,2602,,7188,,5283,,2141,1835,1011,236,3083,2004,1068,165,2828,1533,701,-135,1684,1594,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-73,,-134,,-75,,267,,-100,,446,,216,,64,,,,155,,,,22,15,,,124,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1917,,3408,,1639,,2962,,1397,,2664,,1905,,1499,1117,732,360,1064,807,552,281,1106,828,552,276,1106,514,
无形资产摊销(万元),,60,,118,,59,,116,,58,,115,,110,,109,81,54,27,89,64,43,21,71,50,32,16,43,11,
长期待摊费用摊销(万元),,8,,22,,17,,6,,3,,2,,,,19,19,19,19,13,10,7,3,15,12,8,5,18,9,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
处置固定资产、无形资产和其他长期资产的损失(万元),,4,,-137,,9,,10,,-11,,4,,18,,-579,-579,-579,-600,-2,2,2,2,12,12,11,11,-10,1,
固定资产报废损失(万元),,1,,15,,11,,3,,3,,8,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,753,,1839,,966,,1883,,959,,1519,,1288,,873,648,459,234,565,394,251,115,878,729,513,259,648,171,
投资损失(万元),,-117,,-346,,-168,,-6,,-1,,-2,,-20,,-20,-17,-2,-0,-5,,,,,,,,,,
递延所得税资产减少(万元),,4,,75,,4,,-30,,1,,196,,-434,,-94,,,,-33,,,,-63,-22,,,-20,,
递延所得税负债增加(万元),,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,774,,-316,,1071,,-2209,,-1603,,-3705,,-2315,,-224,-611,714,62,-3059,-3084,-1676,-2629,875,-166,613,47,220,-1205,
经营性应收项目的减少(万元),,3417,,1667,,-6511,,-9794,,2289,,-9971,,-5262,,-1239,923,-155,1065,-3091,-1245,-652,2329,-428,-11,-964,186,-1416,-2880,
经营性应付项目的增加(万元),,-3903,,-4354,,-1627,,-758,,-6965,,5435,,5233,,-279,-127,-227,-2120,2967,3158,1024,87,656,718,1043,-333,-485,1646,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,0,,,,,,,,,,,,,,-3,2,20,-23,-41,,21,-171,-567,-157,-224,,
经营活动产生现金流量净额(万元),,2943,,6688,,-1526,,-2018,,-1368,,3899,,6023,,2270,3290,2024,-715,1765,2087,578,374,5993,3526,1942,174,1688,-132,
债务转为资本(万元),,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,0,,0,,1221,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),9346,7106,9660,9079,8181,17132,24473,14106,35016,3282,4980,4857,2927,3278,2157,4741,5554,3835,2198,1916,3649,2123,3627,3562,4071,2721,2231,3770,3813,
现金的期初余额(万元),9079,9079,9079,14106,14106,14106,14106,4857,4857,4857,4857,3278,3278,4741,4741,1916,1916,1916,1916,3562,3562,3562,3962,3770,3770,3770,3770,1037,1037,
现金等价物的期末余额(万元),,,,0,,,,,,,,,,,,,,,,,,,,,,,,,3213,
现金等价物的期初余额(万元),,,,0,,,,,,,,,,,,,,,,,,,,,,,,,2404,
现金及现金等价物的净增加额(万元),267,-1973,581,-5027,-5924,3026,10367,9249,30159,-1575,123,1579,-351,-1463,-2584,2825,3638,1919,282,-1646,87,-1440,-335,-208,301,-1050,-1540,2733,3584,

