报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
支付的各项税费(万元),56762,30086,14038,66070,51248,30145,17069,56074,38679,26453,12011,50634,53514,15370,64397,49915,32992,14349,53051,35963,23152,10443,36326,23824,14182,5802,18638,13860,12311,3387,1170,
支付的其他与经营活动有关的现金(万元),84886,54448,24121,98840,76558,48993,17268,70986,56232,34295,22597,67387,55778,30794,53041,81955,45266,19341,61117,49498,24209,18100,41946,705311,438329,200870,34705,488936,53617,27409,10927,
经营活动现金流出小计(万元),1995143,1247423,633872,2303486,1626817,1027157,513955,2016459,1469143,945162,492308,1767465,1261470,281093,1014805,786472,492938,225324,869597,607806,363282,167747,550690,1038639,633046,276591,395751,717898,251445,100562,38465,
经营活动产生的现金流量净额(万元),-2895,22321,-23476,158794,121386,90658,17945,200107,118375,57755,-31705,9531,108259,11821,127607,77601,48083,15205,75359,41024,32071,13446,77878,52398,31520,11913,40887,10454,12634,7573,3790,
收回投资所收到的现金(万元),2109,1138,80,888,604,,,14997,9797,6916,,,,8300,,25071,,6071,,2900,,18600,17100,37135,514550,289950,6000,,20,23,0,
取得投资收益所收到的现金(万元),5607,4608,1130,12068,6545,4620,2171,10195,6954,5694,494,6163,2214,124,431,288,199,93,392,330,269,143,1088,871,615,294,531,,70,15,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2618,1749,721,3954,3233,2110,666,5181,4507,3551,1090,3066,882,15,1186,886,488,223,1365,802,409,198,1032,912,732,545,1782,672,1000,491,32,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,17117,17117,17117,,,,,5741,3687,,,,,,,,,,,,,,,0,
收到的其他与投资活动有关的现金(万元),1775565,1203845,482005,2099549,1438854,915008,441960,915632,514400,323400,49024,242270,334700,,214741,74,,32,626,504,500,,610,,,,,,,,0,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),1785898,1211340,483936,2116459,1449236,921737,444797,963122,552774,356678,50608,251498,337796,8439,222100,30006,16112,6420,2384,4536,1179,18941,19830,38918,515898,290789,8313,672,1090,528,32,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),85695,67401,27865,84323,54955,26036,17196,103332,78357,57365,26382,94893,59570,9705,52319,38148,26965,11414,110331,92681,54419,18222,44875,30970,18743,3941,48776,44595,39400,13624,4856,
投资所支付的现金(万元),8410,8410,6010,10330,9428,3652,3500,37446,31204,24500,2000,14550,9240,22000,,23071,,10600,,2967,,18600,,27035,518450,307350,17100,,5900,30,20,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
取得子公司及其他营业单位支付的现金净额(万元),3441,,,,,,,,,,,,,,,,,,,,,,,,,,,,4000,4529,0,
支付的其他与投资活动有关的现金(万元),1816621,1201845,577815,2105449,1575254,926908,442460,917232,594932,336500,152600,243730,343740,,214741,,,,,,,,,0,0,,,,,,0,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),1914168,1277656,611690,2200102,1639636,956596,463156,1058010,704493,418365,180982,353173,412549,31705,267061,61219,42336,22014,110331,95648,54419,36822,44875,58005,537194,311291,65876,44595,49300,18182,4875,
投资活动产生的现金流量净额(万元),-128269,-66317,-127754,-83643,-190400,-34859,-18360,-94888,-151719,-61687,-130374,-101675,-74753,-23265,-44961,-31213,-26224,-15595,-107947,-91112,-53240,-17881,-25045,-19088,-21296,-20502,-57563,-43923,-48210,-17654,-4844,
吸收投资收到的现金(万元),,,,41887,41860,41887,42228,,,,,,,,,,,,,68,,,3543,3543,3543,3543,,,35200,4381,3900,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
取得借款收到的现金(万元),239508,209965,147398,246389,235456,166219,105456,463570,343710,215147,255211,377623,105369,5900,16846,17746,,9970,74425,52655,12800,3000,11750,11750,11750,8750,50500,43400,25822,13046,2568,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,19820,,,,,0,,,0,
收到其他与筹资活动有关的现金(万元),40000,2700,1000,1370,1200,38,,115,82,64,4,146,300,,2202,1302,,,,,,,4743,24386,4566,4566,6785,8780,,,0,
筹资活动现金流入小计(万元),279508,212665,148398,289646,278516,208143,147684,463684,343792,215211,255215,377768,105669,5900,19048,19048,0,9970,74425,52723,12800,3000,39856,39679,19859,16859,57285,52180,61022,17427,6468,
偿还债务支付的现金(万元),197061,167035,55727,254126,129040,74911,53561,451602,308635,211344,144362,293223,113669,,74831,61070,36950,12450,25909,3404,1354,843,44662,44100,23100,14850,16231,8400,12373,3723,856,
分配股利、利润或偿付利息所支付的现金(万元),26554,25116,2007,23709,22036,19981,1663,5760,4262,2590,795,1388,2326,,3323,3155,1550,884,3090,2354,540,158,11144,10724,1262,713,1812,1090,962,237,97,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
支付其他与筹资活动有关的现金(万元),46576,7209,4584,5932,5918,2103,12,54,39,25,10,3,58,30,1608,1237,853,503,11820,6742,4744,2370,18423,14771,11710,5417,16589,6473,93,91,2868,
筹资活动现金流出小计(万元),270190,199360,62318,283767,156994,96994,55236,457416,312937,213958,145168,294613,116053,30,79762,65461,39353,13838,40819,12499,6638,3371,74230,69594,36073,20979,34632,15963,13428,4051,3821,
筹资活动产生的现金流量净额(万元),9318,13304,86080,5878,121523,111149,92448,6269,30855,1253,110048,83155,-10384,5870,-60714,-46413,-27383,-3868,33605,40224,6162,-371,-34374,-29915,-16214,-4121,22654,36217,47594,13376,2647,
汇率变动对现金及现金等价物的影响(万元),68,80,83,233,137,37,-37,-276,-136,-66,-7,-4,8,4,18,23,34,20,-11,-0,0,,,,,,,,,,0,
现金及现金等价物净增加额(万元),-121779,-30611,-65068,81263,52646,166985,91996,111211,-2625,-2744,-52038,-8992,23130,-5570,21951,-2,-5491,-4238,1006,-9865,-15007,-4807,18459,3395,-5990,-12709,5977,2748,12018,3284,1593,
加:期初现金及现金等价物余额(万元),271210,271142,271142,189878,189878,189878,189878,78668,78668,78668,78668,87660,64530,64530,42579,42579,42579,42579,41572,41572,41572,41870,23113,23113,22712,23113,17136,23648,5630,2346,753,
期末现金及现金等价物余额(万元),149431,240530,206074,271142,242524,356864,281875,189878,76042,75923,26629,78668,87660,58960,64530,42576,37088,38340,42579,31707,26566,37062,41572,26509,17123,10404,23113,26396,17648,5630,2346,
净利润(万元),,10550,,70041,,30677,,54662,35766,11818,,37994,33720,-1525,47155,,14760,,27179,,,,37401,,,,19765,,14049,7713,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,1226,,5000,,3007,,3228,2493,1439,,2096,871,,199,,,,639,,,,399,,,,400,,1944,218,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,36487,,64420,,31235,,57429,42230,27963,,48443,48354,11478,44711,,21367,,34942,,,,23787,,,,16520,,6537,2429,,
无形资产摊销(万元),,872,,1268,,587,,995,730,474,,871,841,224,922,,482,,526,,,,303,,,,78,,33,,,
长期待摊费用摊销(万元),,7848,,14383,,7188,,13583,10104,6668,,12882,17728,4260,17888,,8874,,12822,,,,8297,,,,5006,,1160,49,,
待摊费用的减少(万元),,,,,,,,,,,,,,2889,,,1141,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,-1003,,,1113,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-1012,,-2229,,-907,,-2691,-2136,-1539,,-1305,137,,936,,999,,111,,,,193,,,,127,,-67,151,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,-477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,3836,,8091,,3758,,5673,4237,2539,,1543,2131,673,3560,,2392,,3971,,,,3620,,,,3340,,1055,328,,
投资损失(万元),,-4791,,-12061,,-4620,,-11933,-5292,-4152,,-6456,-2214,-124,-4037,,-209,,-392,,,,-1088,,,,-531,,-79,-15,,
递延所得税资产减少(万元),,-8982,,-4734,,-2568,,1042,1379,4,,120,6,-1069,-2085,,,,-2923,,,,-81,,,,-762,,184,-906,,
递延所得税负债增加(万元),,7488,,9020,,3583,,-609,-681,-627,,2622,1067,,58,,,,,,,,,,,,,,,,,
存货的减少(万元),,-252,,-1100,,176,,-235,-456,94,,-35,-107,-37,150,,116,,151,,,,57,,,,-601,,11,7,,
经营性应收项目的减少(万元),,-13091,,-32098,,14751,,72867,68563,62027,,-161872,-30712,5620,-5264,,100,,-29455,,,,-13244,,,,-8085,,-18615,-16094,,
经营性应付项目的增加(万元),,-16786,,38720,,3333,,5958,-38563,-48954,,72459,36672,-9565,23678,,-3054,,27788,,,,18234,,,,5630,,6303,13717,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,-594,,74,,458,,139,,,,170,-235,,-263,,,,,,,,,,,,,,118,-25,,
经营活动产生现金流量净额(万元),,22321,,158794,,90658,,200107,118375,57755,,9531,108259,11821,127607,,48083,,75359,,,,77878,,,,40887,,12634,7573,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),149431,240530,206074,271142,242524,356864,281875,189878,76042,75923,26629,78668,87660,58960,64530,42576,37088,38340,42579,31707,26566,37062,41572,26509,17123,10404,23113,26396,17648,5630,2346,
现金的期初余额(万元),271210,271142,271142,189878,189878,189878,189878,78668,78668,78668,78668,87660,64530,64530,42579,42579,42579,42579,41572,41572,41572,41870,23113,23113,22712,23113,17136,23648,5630,2346,753,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-121779,-30611,-65068,81263,52646,166985,91996,111211,-2625,-2744,-52038,-8992,23130,-5570,21951,-2,-5491,-4238,1006,-9865,-15007,-4807,18459,3395,-5990,-12709,5977,2748,12018,3284,1593,

