报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,
筹资活动产生的现金流量净额(万元),165459,156845,43171,64799,72694,30048,19997,190435,183599,-30645,11833,-14827,-16814,-19202,27998,25599,30284,27270,21900,34604,20348,9323,13066,4205,4852,50611,-75,
汇率变动对现金及现金等价物的影响(万元),-287,-282,-257,435,34,23,12,0,40,16,0,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),19695,54690,-35303,30069,-29368,-37539,7989,55768,83781,-1235,13906,-23891,-39002,-34518,857,-8437,-9825,-19590,-3004,-9665,-36307,-30062,23638,-9949,-21747,6491,14748,
加:期初现金及现金等价物余额(万元),160220,160220,160220,130151,130151,130151,130151,74383,74383,75618,61712,60345,60345,60345,59488,59488,59488,59488,62491,59243,62491,60891,38854,37989,37989,31498,23735,
期末现金及现金等价物余额(万元),179915,214910,124917,160220,100784,92612,138140,130151,158164,74383,75618,36453,21343,25827,60345,48296,49662,39898,59488,49577,26185,30829,62491,28040,16242,37989,38483,
净利润(万元),,453,,36457,,23259,,26329,21156,15852,5026,,,,6689,,,,5553,,,,4632,,,3787,2153,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,773,,4072,,3607,,15609,15390,4916,12832,,,,591,,,,9793,,,,4403,,,2312,84,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,3647,,4470,,2082,,4270,3240,4222,3126,,,,2145,,,,1834,,,,1826,,,1557,1374,
无形资产摊销(万元),,394,,737,,292,,454,217,182,182,,,,184,,,,176,,,,79,,,16,15,
长期待摊费用摊销(万元),,203,,458,,218,,424,308,377,410,,,,149,,,,25,,,,,,,7,24,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-202,,-38,,1,,-71,-71,-115,-81,,,,28,,,,-352,,,,-57,,,49,28,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,6,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,4354,,10668,,4334,,7754,5878,2496,3647,,,,5929,,,,4734,,,,2936,,,1507,75,
投资损失(万元),,416,,-20972,,-21007,,38,16,-3762,-42,,,,-129,,,,5,,,,-12,,,,-55,
递延所得税资产减少(万元),,-230,,-621,,-437,,-2323,-2293,-511,-2026,,,,-348,,,,-585,,,,119,,,-359,-16,
递延所得税负债增加(万元),,,,,,,,-320,-320,107,107,,,,,,,,,,,,,,,,,
存货的减少(万元),,-71445,,-12784,,-47853,,-117185,-112994,-24507,11829,,,,-29164,,,,-21652,,,,-17574,,,-1485,-3730,
经营性应收项目的减少(万元),,16265,,-80435,,-69397,,-344621,-311392,2363,-559,,,,-3607,,,,-64858,,,,-17696,,,-37382,-2327,
经营性应付项目的增加(万元),,-62921,,24310,,33610,,282300,284036,28699,-21299,,,,-7608,,,,43162,,,,32360,,,-9786,19245,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,437,,,,1477,,,,1285,,,136,,
经营活动产生现金流量净额(万元),,-108292,,-33678,,-71291,,-127344,-96830,30320,13152,,,,-24704,,,,-20682,,,,12303,,,-39640,16869,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),179915,214910,124917,160220,100784,92612,138140,130151,158164,74383,75618,36453,21343,25827,60345,48296,49662,39898,59488,49577,26185,30829,62491,28040,16242,37989,38483,
现金的期初余额(万元),160220,160220,160220,130151,130151,130151,130151,74383,74383,75618,61712,60345,60345,60345,59488,59488,59488,59488,62491,59243,62491,60891,38854,37989,37989,31498,23735,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),19695,54690,-35303,30069,-29368,-37539,,55768,83781,-1235,13906,-23891,-39002,-34518,857,-8437,-9825,-19590,-3004,-9665,-36307,-30062,23638,-9949,-21747,6491,14748,

