报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),30501,20184,11988,73863,28477,27367,11514,51629,24097,18219,12590,80743,40597,38943,59594,31440,16659,69511,52555,27753,12198,55286,35350,19074,10464,21732,14177,8231,
投资所支付的现金(万元),17026,7750,150,1489,1489,,,515,515,200,,600,600,,26050,40680,44510,300,76263,34863,28863,37800,103991,33679,2879,15638,11853,6920,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,0,,,,,,,,,,14160,,,849,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,0,,,,,,,,,,,356,1,,1002,1001,10,,-978,19,1,13,11,8,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),47527,27934,12138,75352,29966,27367,11514,52144,24612,18419,12590,81343,41197,38943,99804,72477,61170,70660,129820,63618,41071,93086,138363,52773,13344,37383,26041,15160,
投资活动产生的现金流量净额(万元),-28028,-17905,-12035,-71302,-27462,-26752,-11513,-49129,-21752,-15558,-12590,-48117,-14790,-12696,-93687,-32372,-44646,-41740,-54620,-8382,4430,-91904,-77949,-44576,-12172,-36577,-25400,-14566,
吸收投资收到的现金(万元),,,,1000,1000,,,30551,5398,2900,,,,,71250,1500,,5780,12493,12493,7026,,9183,1490,98,1480,1480,500,
其中：子公司吸收少数股东投资收到的现金(万元),,,,1000,1000,,,5900,5398,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),264617,216511,103900,242216,194400,169400,60900,191407,155407,127257,74907,219067,163396,79964,162900,97500,44400,159600,130500,122000,28600,146465,92951,86051,28700,47600,39000,23000,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,0,,,,,,,,,,,87,,,16491,1,15350,,88703,34403,176,1400,2573,1400,
筹资活动现金流入小计(万元),264617,216511,103900,243216,195400,169400,60900,221958,160805,130157,74907,219067,163396,79964,234150,99087,44400,165380,159484,134494,50976,146465,190837,121944,28974,50480,43053,24900,
偿还债务支付的现金(万元),226917,171182,79909,183173,142970,104130,37595,186481,162689,120428,32550,196072,167479,72631,135957,84892,28983,94396,78035,75378,20050,48652,46484,45834,13359,10643,10643,10572,
分配股利、利润或偿付利息所支付的现金(万元),20212,15112,4974,18294,13467,9595,3558,12843,11400,7991,3981,18235,12781,8028,29845,9364,3301,16095,10401,7173,4179,10248,6231,2942,1320,5638,4626,3082,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,0,,,1955,,,,,,,,117,117,,930,376,15345,,29977,23559,684,143,143,116,
筹资活动现金流出小计(万元),247128,186294,84883,201467,156437,113725,41153,201280,174089,128418,36531,214307,180260,80659,165802,94374,32401,110492,89366,82926,39574,58900,82692,72335,15363,16424,15412,13770,
筹资活动产生的现金流量净额(万元),17489,30217,19017,41749,38963,55675,19747,20678,-13284,1739,38376,4760,-16864,-695,68348,4713,11999,54888,70118,51567,11402,87564,108145,49609,13611,34056,27641,11130,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),38331,46267,7953,10425,27030,49505,4490,17868,-778,26630,33108,-8524,-4125,13618,-28400,-8969,-35167,16685,18778,43067,21826,18771,35257,18450,-880,4784,12301,4569,
加:期初现金及现金等价物余额(万元),52808,52808,52808,42383,42383,42383,44127,24515,24515,24515,28256,33039,33039,33039,61439,68267,67591,44753,44163,44163,44163,25982,26566,,4805,,,,
期末现金及现金等价物余额(万元),91139,99075,60761,52808,69412,91887,48618,42383,23737,51145,61364,24515,28914,46657,33039,59298,32424,61439,62941,87230,65989,44753,61824,,7179,,,,
净利润(万元),,12921,,16876,,10792,,13785,,8667,,10270,,,2402,,,3292,,,,,,,-502,,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,1145,,2352,,1789,,-59,,-350,,2014,,,1102,,,837,,,,,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,11431,,21856,,10701,,19273,,9190,,17309,,,13058,,,7936,,,,,,,298,,,,
无形资产摊销(万元),,794,,1351,,638,,1053,,472,,673,,,633,,,366,,,,,,,8,,,,
长期待摊费用摊销(万元),,1467,,731,,284,,670,,313,,438,,,260,,,142,,,,,,,3,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-259,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产报废损失(万元),,16,,432,,258,,270,,194,,580,,,729,,,504,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,9502,,16871,,8105,,14334,,7387,,14770,,,12608,,,8657,,,,,,,194,,,,
投资损失(万元),,-3501,,-7064,,-5058,,-5623,,-3712,,-3140,,,-3088,,,-2789,,,,,,,,,,,
递延所得税资产减少(万元),,176,,-438,,107,,211,,319,,140,,,-879,,,142,,,,,,,-118,,,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-2541,,4481,,-3380,,-312,,2076,,-9558,,,-10059,,,-9016,,,,,,,-1356,,,,
经营性应收项目的减少(万元),,10966,,-19698,,6024,,-2846,,18653,,-8114,,,-19920,,,-19154,,,,,,,2273,,,,
经营性应付项目的增加(万元),,-8422,,2488,,-9679,,5563,,-2761,,9451,,,-2034,,,12620,,,,,,,1301,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,2127,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,33955,,39978,,20582,,46319,,40449,,34832,,,-3061,,,3537,,,,,,,2132,,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),91139,99075,60761,52808,69412,91887,48618,42383,23737,51145,61364,24515,28914,46657,33039,59298,32424,61439,62941,87230,65989,44753,61824,,7179,,,,
现金的期初余额(万元),52808,52808,52808,42383,42383,42383,44127,24515,24515,24515,28256,33039,33039,33039,61439,68267,67591,44753,44163,44163,44163,25982,26566,,4805,,,,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),38331,46267,7953,10425,27030,49505,4490,17868,-778,26630,33108,-8524,-4125,13618,-28400,-8969,-35167,16685,18778,43067,21826,18771,35257,,2375,,,4569,

