报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
资产减值准备(万元),,-7717,,27,,,,8753,,,,1108,,,,26,,,,586,,,,357,,,3,,,,,,113,,166,0,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,35961,,72738,,,,71450,,,,65228,,,,47307,,,,31238,,,,26840,,,25633,,,,25856,,23862,11293,7741,0,,
无形资产摊销(万元),,2093,,3679,,,,2254,,,,1885,,,,1379,,,,1191,,,,2012,,,1792,,,,2384,,1956,1259,1674,0,,
长期待摊费用摊销(万元),,340,,544,,,,452,,,,212,,,,33,,,,,,,,,,,,,,,,,17,,,0,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
处置固定资产、无形资产和其他长期资产的损失(万元),,668,,3583,,,,1455,,,,498,,,,-30,,,,-271,,,,159,,,-3955,,,,-400,,-381,,,0,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,0,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
财务费用(万元),,23460,,53722,,,,56941,,,,45150,,,,14767,,,,16261,,,,9565,,,15738,,,,13930,,16709,10432,4755,0,,
投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,-20820,,,-8504,,,,-1173,,11,,,0,,
递延所得税资产减少(万元),,2093,,-1493,,,,-781,,,,119,,,,856,,,,222,,,,507,,,779,,,,-1538,,,,,0,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,-158,,,,158,,,,,,,,,,,,,,,,0,,
存货的减少(万元),,-3159,,-5322,,,,4888,,,,-19320,,,,47908,,,,-49222,,,,-10276,,,481,,,,7405,,-7380,-14049,-6593,0,,
经营性应收项目的减少(万元),,-64083,,-13469,,,,-86009,,,,-32229,,,,-66796,,,,3509,,,,-1684,,,-19634,,,,-7268,,-33678,-724,13718,0,,
经营性应付项目的增加(万元),,-24649,,-162582,,,,-99109,,,,-45574,,,,67350,,,,253637,,,,38962,,,20719,,,,19635,,163459,10765,23741,0,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
其他(万元),,4216,,,,,,,,,,,,,,,,,,,,,,,,,3396,,,,,,,-11029,,0,,
经营活动产生现金流量净额(万元),,158118,,326519,,,,301563,,,,177219,,,,248962,,,,269937,,,,111902,,,94297,,,,156365,,215819,45070,53265,0,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
现金的期末余额(万元),359780,609507,62784,37570,69339,14797,199554,96707,256022,239786,48361,93445,108523,16433,45704,16359,32008,29190,19445,63246,47851,15962,37618,27240,12214,69641,95946,43985,34514,39359,30230,72973,53301,11363,65030,18221,19660,
现金的期初余额(万元),37570,37570,37570,96707,96707,96707,96707,93445,93445,93445,93355,16359,16359,16359,16359,63311,63246,63246,63246,27240,27240,27240,27240,95946,96148,95946,30230,62283,62283,62283,20345,53301,65030,58019,18221,19660,3077,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
现金及现金等价物的净增加额(万元),322210,571937,25215,-59138,-27368,-81910,102846,3262,162577,146341,-44993,77086,92164,73,29345,-46952,-31238,-34056,-43801,36006,20611,-11277,10378,-68706,-83934,-26304,65716,-18298,-27769,-22924,9884,19672,-11729,-46656,46809,-1439,16583,

