报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
固定资产净值(万元),,6629,,6846,,4529,,4163,,3876,,3897,,370,,261,242,279,,,,
固定资产减值准备(万元),,989,,989,,,,0,,,,,,,,,,,,,,
固定资产(万元),,5640,,5857,4634,4529,4228,4163,3893,3876,3894,3897,599,370,249,261,242,279,233,281,183,
在建工程(万元),,,,,,,,,63,125,1,,1979,1980,1948,1679,982,26,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),371,380,378,388,398,404,396,371,372,368,368,372,371,375,376,383,391,413,422,5,10,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,
商誉(万元),201,201,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),369,481,549,649,341,306,157,168,158,145,138,136,13,,,,,,31,71,108,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1864,1406,1399,1399,1139,1122,1022,1062,916,923,988,954,509,410,292,276,186,131,67,41,26,
其他非流动资产(万元),,8,,52,317,346,239,214,,,,29,,,,,,,,,,
非流动资产合计(万元),10575,16571,16580,16762,15250,15128,14478,13477,12900,12935,5390,5389,3471,3136,2865,2598,1801,848,754,399,327,
资产总计(万元),101604,107379,100077,105916,108988,104918,110648,112145,103367,96173,98428,100117,82367,69315,61170,37397,27796,24829,18899,13350,8717,
短期借款(万元),,,2036,2825,7755,7755,3000,1000,,,,,,,,,,,,,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),8818,13468,,11215,,11416,20695,23798,13154,14106,12710,10158,3087,,,,,,,,,
应付账款(万元),9457,7443,,17505,,11377,12928,12453,17985,12135,18079,23391,19286,14372,8718,9462,4073,3819,2518,2855,1747,
预收账款(万元),17610,11448,413,667,490,422,283,495,398,411,445,547,1271,183,139,276,164,407,281,262,401,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),388,369,389,700,757,740,302,1258,849,889,198,1353,829,770,279,973,591,742,797,649,155,
应交税费(万元),20,140,70,94,244,678,44,109,832,1561,1459,1775,700,801,734,548,175,562,437,367,242,
应付利息(万元),,,8,8,,5,1,1,,,,,,,,,,,,,,
应付股利(万元),,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,3084,,2383,2928,2719,2347,2348,1596,2130,1123,1934,1167,995,1730,529,413,251,228,147,152,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),39122,35953,29093,35395,39483,35111,39599,41461,34815,31231,34013,39159,26341,17122,11600,11788,5416,5780,4262,4280,2697,
长期借款(万元),,,,,,,,,,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),17,17,18,18,18,18,19,19,,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,19,19,,,,,,,,34,91,6,39,
非流动负债合计(万元),17,17,18,18,18,18,19,19,19,19,0,0,0,0,0,0,0,34,91,6,39,
负债合计(万元),39139,35970,29111,35413,39502,35130,39618,41480,34834,31251,34013,39159,26341,17122,11600,11788,5416,5814,4353,4285,2736,
实收资本(或股本)(万元),20800,20800,20800,20800,20800,20800,20800,20800,20800,20800,10400,10400,10400,10400,5200,3900,3900,3900,3900,3900,350,
资本公积(万元),8233,8233,8233,8233,8233,8233,8233,8233,8233,8233,18633,18633,18633,18633,23833,3752,3752,3752,3752,3752,,
减:库存股(万元),1006,1006,1006,534,491,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),5109,5109,5109,5109,4840,4840,4840,4840,3527,3527,3527,3527,1955,1955,1955,1955,1246,1246,736,141,623,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),28870,37835,37831,36894,36110,35920,37157,36792,35973,32362,31855,28398,25038,21206,18582,16002,13481,10117,6159,1271,5008,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),62006,70971,70967,70503,69492,69793,71030,70665,68533,64922,64415,60958,56027,52194,49570,25609,22380,19015,14547,9065,5981,
少数股东权益(万元),458,438,,,-6,-5,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),62464,71409,70967,70503,69486,69788,71030,70665,68533,64922,64415,60958,56027,52194,49570,25609,22380,19015,14547,9065,5981,
负债和所有者权益(或股东权益)总计(万元),101604,107379,100077,105916,108988,104918,110648,112145,103367,96173,98428,100117,82367,69315,61170,37397,27796,24829,18899,13350,8717,		
