报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,
固定资产清理(万元),,,,,,,,,,,,,,,351,371,,,-264,,764,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),25714,25857,25969,26212,26333,26565,26783,8793,8962,7336,7577,7625,7666,7706,7720,7750,7780,7821,7831,7938,7727,7736,7747,7757,615,567,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
商誉(万元),119,119,119,119,119,119,119,119,119,119,102,102,102,102,,,,,,,,,,,,,
长期待摊费用(万元),340,413,486,559,617,713,873,848,1065,1384,573,601,630,669,568,527,1954,473,,23,27,,64,,,7,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),9040,9148,8821,8816,9299,8632,8195,7290,5872,5361,2596,2596,2580,2579,2868,2231,838,2232,1500,1450,1451,1451,879,879,879,757,
其他非流动资产(万元),,,,,2855,2627,,2506,,16423,,,,,,,,,0,,,,,,,,
非流动资产合计(万元),282253,226705,221583,220727,199943,180137,128551,82446,50749,66383,36751,32515,28245,28160,27000,24985,26544,24129,22183,23029,23465,22202,21081,20819,13489,10508,
资产总计(万元),1125301,1111969,977618,1013513,1080519,964208,896938,861545,379030,372430,309346,298477,283881,322273,333088,337068,305837,283505,361852,291735,236665,208098,296266,228564,135391,91979,
短期借款(万元),137700,166250,154355,131105,145610,123500,118500,124000,51500,34000,44000,40700,44700,60500,67500,72500,67000,69200,75200,65014,64000,48000,42941,34941,28941,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,500,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),18471,55946,,21369,,,,2180,,,3046,9700,7980,2281,11931,11700,3100,5226,12026,10919,3000,6178,3300,7240,,,
应付账款(万元),259084,242515,,306845,,,,351481,,,57307,48544,38101,68367,53540,44979,44584,67648,27215,24231,21408,43790,33828,28179,38739,27188,
预收账款(万元),82503,67967,79657,94398,102304,108128,82316,59724,53648,30900,34341,32766,20754,28003,14061,40509,24772,25513,139235,76817,64162,21697,141923,82903,11481,35714,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1938,2028,2904,6568,2153,2303,3811,2232,2154,1872,518,382,418,874,764,562,177,1706,656,246,157,1875,500,347,132,554,
应交税费(万元),3935,2619,2845,4296,3739,5440,4455,5784,4324,8373,2098,2024,3600,5013,3368,1822,4337,5762,1562,2619,3329,3872,1738,2269,3825,1301,
应付利息(万元),,,,,,,,178,,,240,260,147,508,196,831,531,508,457,372,,,,,,,
应付股利(万元),464,9353,,,,,,3360,,,,,,,15,15,243,1,15,15,1,15,1,2275,1,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,38609,,38534,,40567,42788,24102,12464,13818,40895,39560,55147,40115,65597,52726,65614,42046,35211,31905,15493,27083,16828,15454,7669,10263,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),45870,41095,29540,64380,60260,65210,19980,15940,1100,22232,,,,2240,1240,,,8350,,,,,,,,,
其他流动负债(万元),10720,12510,13600,14988,18430,20262,20573,19501,617,,,,,,,,,,,,,,,,,,
流动负债合计(万元),599430,638892,590378,682482,755101,682623,627499,608482,236216,222223,182446,173935,170845,207901,218213,225645,210358,225959,291577,212638,171550,152511,241058,173607,90788,75018,
长期借款(万元),276520,230135,141230,80530,128090,101040,111920,96160,9900,25400,38140,38260,31260,31140,31140,31500,36850,,11900,12100,17100,17100,20800,20900,20450,,
应付债券(万元),,,,,,,,,,,8926,8926,8868,8862,8789,8789,8744,8739,,8946,8946,,,,,,
长期应付款(万元),,,,,200,200,,,,,,,,,,,,,8946,,75,219,270,307,343,,
专项应付款(万元),,,,200,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),38,38,38,38,,,,,14,,,,,,,,,,,,,,467,581,581,628,
长期递延收益(万元),300,321,226,311,72,72,90,35,,,,,,39,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,320,213,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,39,,39,39,50,25,,,,,-20,-25,,,
非流动负债合计(万元),276892,230543,141757,81160,128465,101437,112183,96195,10234,25613,47066,47186,40167,40041,39968,40328,45644,8764,20846,21046,26121,17319,21517,21763,21374,628,
负债合计(万元),876322,869435,732135,763643,883565,784060,739681,704677,246450,247836,229512,221122,211012,247942,258181,265973,256002,234723,312423,233684,197671,169830,262575,195370,112162,75647,
实收资本(或股本)(万元),64500,64500,64500,64500,58000,58000,58000,58000,58000,58000,45000,45000,45000,45000,45000,45000,34000,34000,34000,37822,18005,18005,18005,18005,18005,18005,
资本公积(万元),72754,72754,72165,72113,36696,36996,37099,37194,37205,37183,10876,10876,10876,10876,12566,12566,1676,-13,1676,1676,8216,6506,6481,6481,-1600,134,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),8972,8282,6891,6701,9834,7232,6572,7672,3994,4155,5278,4493,3899,3883,4651,,,3498,1059,1945,1942,2048,,,642,69,
盈余公积(万元),8134,8134,8134,8104,4646,4646,4646,2854,2585,1866,3800,2281,2281,2281,1769,1495,1495,1495,1461,1056,843,845,469,469,469,,
一般风险准备(万元),,,,,,,,,,,,,,,,3112,2463,,,,,,643,682,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),70306,65146,70150,74377,76441,65454,42509,43783,24052,18103,11121,10946,7071,8113,6580,5817,7209,6668,6579,9655,6534,7748,5548,4963,3135,-1894,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),225018,219228,222259,225798,185619,172333,148826,149499,125811,119288,76075,73596,69127,70152,70566,67990,46842,45649,44775,10616,35540,35151,31146,30601,20650,16314,
少数股东权益(万元),23961,23307,23225,24072,11334,7815,8430,7369,6769,5306,3759,3759,3742,4179,4342,3105,2992,3132,4654,5896,3454,3117,2545,2594,2580,19,
所有者权益(或股东权益)合计(万元),248979,242535,245483,249870,196953,180148,157257,156868,132580,124594,79834,77355,72869,74331,74908,71095,49834,48781,49429,58051,38994,38268,33692,33194,23230,16333,
负债和所有者权益(或股东权益)总计(万元),1125301,1111969,977618,1013513,1080519,964208,896938,861545,379030,372430,309346,298477,283881,322273,333088,337068,305837,283505,361852,291735,236665,208098,296266,228564,135391,91979,		
