报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
累计折旧(万元),,7906,,7417,,6963,,6499,,6032,,5584,,5104,,4659,,172,,4133,3856,3639,3201,,,
固定资产净值(万元),,7592,,7725,,7393,,7650,,7192,,7575,,8043,,8306,,13993,,9990,10171,9337,9542,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,7592,,7725,7505,7393,7483,7650,6998,7192,7380,7575,7812,8043,8265,8306,9330,9569,9812,9990,10171,9337,9542,9908,10014,
在建工程(万元),,,,47,6,171,193,163,435,425,416,346,134,50,0,,0,,0,,13,988,957,43,52,
工程物资(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
无形资产(万元),3185,3209,3233,3257,3290,3206,3230,3254,3235,3257,3278,3300,3322,3343,3369,3387,3399,3413,3434,3455,3477,3498,3528,3612,3637,
开发支出(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
商誉(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
长期待摊费用(万元),10,11,13,14,15,22,17,18,91,66,42,,67,67,133,133,133,133,0,,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1198,1100,1125,1109,1100,1118,1028,1036,838,756,698,693,745,742,822,856,594,673,335,614,705,685,338,278,96,
其他非流动资产(万元),,,,,,,,,,,817,818,,,0,,0,,0,,,,,,,
非流动资产合计(万元),78648,35688,35176,34949,34732,33938,33312,29471,13496,13494,13718,13839,13206,13390,13772,13865,13456,13788,13581,14059,14366,14508,14365,13841,13800,
资产总计(万元),175188,150093,151499,141773,150811,136855,145013,131006,131101,111825,116262,101939,104075,99495,100075,92757,95328,95606,107706,69635,66712,69612,49891,46008,38208,
短期借款(万元),21500,18000,18000,15000,18000,19400,15800,12800,8800,5500,5500,5500,2500,2500,2500,2500,2500,2500,5500,7500,5000,11500,11500,11500,9500,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),2036,3021,,2706,,4131,1932,1878,2759,1675,183,,1000,1000,1150,1970,1541,2695,2577,2500,1500,,,,,
应付账款(万元),21213,18405,,14134,,9897,20830,11406,14664,14289,17805,7853,11089,11438,10558,9046,13350,12792,13077,5882,4721,4504,4697,3116,1587,
预收账款(万元),29868,22214,24550,23721,24512,21855,22349,21383,24400,14329,17127,14660,16423,13885,14230,8018,11847,18139,25882,21957,26687,26878,7508,12453,11689,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),782,717,436,1006,859,260,254,786,244,203,196,762,379,414,25,766,26,220,67,710,243,268,617,409,146,
应交税费(万元),644,399,456,136,395,271,411,1378,496,529,637,287,447,340,745,1835,802,595,835,605,1076,1090,1228,782,886,
应付利息(万元),,,,21,,25,64,18,,,7,7,,,0,,0,,0,,,,,,,
应付股利(万元),53,53,53,53,,18,18,18,36,36,19,19,19,32,0,,0,,0,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,285,,935,118,149,47,53,421,455,411,20,548,103,267,76,646,28,1832,175,52,94,11,10,7,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,2200,
其他流动负债(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
流动负债合计(万元),86400,63094,65545,57711,67883,56008,61706,49720,51820,37016,41885,29110,32405,29711,29475,24211,30712,36969,49770,39329,39279,44333,25561,28272,26014,
长期借款(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
专项应付款(万元),,,,,,,,,,,,,20,,20,,0,,0,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,0,,0,,0,,,,,,,
长期递延收益(万元),526,537,548,518,526,538,550,563,566,577,587,600,582,602,600,620,,559,,570,576,,592,615,,
递延所得税负债(万元),97,97,97,97,,,,,,,,,,,0,,0,,0,,,,,,,
其他非流动负债(万元),990,2007,2007,2027,1821,4161,4178,4178,4197,2323,2323,2323,2323,3872,3872,3872,570,,570,,,581,,,573,
非流动负债合计(万元),1612,2641,2652,2642,2346,4699,4729,4741,4763,2901,2910,2923,2926,4474,4492,4492,570,559,570,570,576,581,592,615,573,
负债合计(万元),88012,65734,68197,60353,70229,60707,66434,54461,56584,39916,44795,32033,35331,34185,33968,28703,31282,37528,50340,39899,39855,44914,26154,28886,26587,
实收资本(或股本)(万元),24950,24950,24950,24953,24953,24915,24917,24917,24919,24480,24480,24480,24480,24480,8160,8160,8160,8000,8000,6000,6000,6000,6000,6000,6000,
资本公积(万元),20405,20405,20289,20306,19963,19742,19436,19436,18593,15989,15989,15989,15741,15741,32061,32061,31957,28245,28558,4181,4181,4181,4181,4181,3966,
减:库存股(万元),990,2007,2007,2027,1821,4161,4178,4178,4197,2323,2323,2323,2323,3872,3872,3872,0,,0,,,,,,,
专项储备(万元),106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,107,82,,,,
盈余公积(万元),4878,4878,4878,4878,4175,4175,4175,4175,3570,3570,3570,3570,3011,3011,3046,3011,2130,2082,2131,2082,1310,1310,1310,665,158,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),37827,36027,34950,33109,33006,31153,34063,32031,31526,30086,29645,28084,27730,25845,26606,24589,21693,19645,18571,17368,15259,13125,12246,6276,1497,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),87215,84398,83198,81364,80398,75945,78512,76477,74517,71908,71467,69906,68744,65310,66107,64054,64046,58078,57366,29737,26857,24698,23737,17122,11621,
少数股东权益(万元),-40,-40,105,56,184,204,68,68,,,,,,,,,,,,,,,,,,
所有者权益(或股东权益)合计(万元),87176,84358,83303,81421,80582,76149,78579,76545,74517,71908,71467,69906,68744,65310,66107,64054,64046,58078,57366,29737,26857,24698,23737,17122,11621,
负债和所有者权益(或股东权益)总计(万元),175188,150093,151499,141773,150811,136855,145013,131006,131101,111825,116262,101939,104075,99495,100075,92757,95328,95606,107706,69635,66712,69612,49891,46008,38208,		
