报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),77549,75567,79024,75480,77567,77755,65120,41570,48799,25942,26755,18231,20618,17841,19387,16760,21795,21103,22528,17998,18892,16495,17692,12484,9741,9770,6020,6127,4872,5674,5289,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),1178,1301,7173,8733,120,141,78,23394,133,106,38,129,90,98,52,156,101,62,40,66,93,110,118,41,31,,,,,,,
流动资产合计(万元),244406,278990,267613,269845,285570,290078,268845,244879,219944,142891,129649,136657,128295,117364,108520,114756,112161,126300,89705,86732,74932,70480,57964,53722,40837,36481,28070,25744,20126,20438,15587,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),48916,49178,49395,48886,49001,41193,15876,15713,5807,5807,5807,5340,,,,,,,,,,,,,,,,,,,36,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产原值(万元),,79078,,78216,,74830,,74064,,53988,,31212,,11765,,11569,,10941,10575,9932,10247,9650,8829,,6810,6702,5899,5536,3628,,,
累计折旧(万元),,15493,,13474,,12271,,10417,,5400,,4555,,3909,,3881,,3479,3257,3105,2721,2353,2058,,1563,1363,1174,1000,854,,,
固定资产净值(万元),,63586,,64742,,62559,,63647,,48587,,26657,,7856,,7688,,7462,7318,6827,7526,7297,6772,,5247,5339,4725,4536,2774,,,
固定资产减值准备(万元),,2,,2,,2,,2,,2,,2,,2,,2,,2,2,2,2,2,2,,2,2,2,2,,,,
固定资产(万元),,63584,,64740,62248,62557,62963,63645,61562,48585,26300,26655,7828,7854,7690,7686,7615,7460,7316,6825,7524,7295,6770,5511,5245,5337,4723,4534,2774,2676,2489,
在建工程(万元),,25209,,15186,5662,5030,4685,3103,3437,1668,17768,16485,30867,26507,24494,20286,15128,4005,2823,2240,586,349,10,,,,7,22,800,107,6,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),24235,20195,20091,20403,18973,19283,19715,19893,17628,13052,13185,13367,10885,10988,9704,9764,2777,2780,2776,2800,2798,2821,2831,2797,2781,2804,2839,2866,2901,698,688,
开发支出(万元),1865,1464,1293,1039,2233,1796,1422,1227,2786,2074,1896,1411,3109,2689,3818,3032,2729,885,,,,,,,,,,,,,,
商誉(万元),40539,40539,41997,40539,42273,42273,42273,42273,41256,,,,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),1143,1037,1361,1155,1311,1304,1062,1089,220,57,67,58,85,96,131,138,184,211,217,224,186,153,112,95,59,16,,,,,,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1587,1571,1471,1690,1878,1866,1645,1645,1132,1008,905,905,821,793,769,723,705,704,575,575,559,484,472,359,380,326,263,258,203,195,149,
其他非流动资产(万元),3204,4279,740,4559,1642,,208,1610,208,,,,2430,1430,,47,,,,,,,,,,,,,,,,
非流动资产合计(万元),206692,207054,199591,198196,185221,175302,149849,150197,134036,72252,65927,64220,56024,50358,46606,41675,29138,16044,13707,12664,11653,11102,10194,8762,8465,8483,7831,7679,6678,3677,3367,
资产总计(万元),451098,486045,467203,468042,470791,465381,418694,395076,353981,215142,195576,200878,184320,167722,155126,156431,141299,142345,103412,99396,86585,81582,68158,62484,49302,44963,35901,33423,26804,24115,18954,
短期借款(万元),94553,101753,112646,106350,110878,86090,61881,47589,28476,9300,6200,5200,2400,7000,4200,5000,5000,4000,8500,6500,4500,5500,6500,7500,6500,5000,7435,5635,6135,3000,1700,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),40149,49208,,27182,,59905,56394,44530,38297,36543,33459,30126,33582,33088,24316,22482,21208,15833,13013,15459,14943,9000,4008,4295,3000,642,590,,,,,
应付账款(万元),88766,114330,,112808,,90658,88807,87276,78601,70287,56695,65958,50098,42642,42950,46774,38246,39733,31218,29109,24562,26101,22890,17485,11722,13121,6235,7023,4510,5097,3019,
预收账款(万元),1239,1057,1362,4018,1430,2238,2042,1799,2107,2344,3078,2370,4684,2420,2185,1032,1062,2208,2163,1454,1385,1292,415,1327,953,769,192,393,121,417,250,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2578,2378,2812,2863,2944,2823,2990,3096,1711,1479,1416,1523,1599,1526,1655,1536,1318,1257,1155,1083,929,776,650,540,451,378,326,260,226,191,128,
应交税费(万元),3278,3135,1948,3265,703,2483,2005,6789,2667,1845,2023,1706,2182,3320,1705,3496,3375,3620,2569,2776,2683,2134,2075,2261,2125,1385,1190,1370,1187,1329,608,
应付利息(万元),101,87,171,174,,137,89,87,40,11,,7,,10,,8,,16,23,13,9,11,12,16,,,,,,,,
应付股利(万元),471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,2343,,1031,1206,4478,1700,1103,6238,1064,841,867,731,861,1336,1176,896,2589,288,443,266,424,370,334,438,647,715,1259,797,912,873,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),3561,4656,4438,5307,,,1179,1785,,,,,,,,,,,,,,,,,,,,,,,400,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
流动负债合计(万元),242843,278948,262907,262999,254906,248813,217087,194056,158138,122875,103712,107757,95276,90867,78347,81504,71104,69256,58929,56836,49277,45238,36921,33758,25189,21941,16683,15940,12975,10946,6978,
长期借款(万元),2028,2245,3325,4068,,,,,,,,,,,,,,5000,5000,,,,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,74,,362,11861,11465,1930,1763,3245,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,41,,,,
长期递延收益(万元),7776,6292,5924,5994,5964,6019,6068,6149,6095,4993,4996,5008,5024,4551,4559,1376,400,400,423,500,,142,,163,,,,,,,,
递延所得税负债(万元),615,533,561,561,615,615,615,615,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,,,,,131,,153,,173,177,180,180,,,,
非流动负债合计(万元),10419,9144,10170,10985,18440,18099,8614,8527,9340,4993,4996,5008,5024,4551,4559,1376,400,5400,5423,500,131,142,153,163,173,177,180,221,0,0,0,
负债合计(万元),253262,288092,273077,273984,273346,266912,225700,202584,167478,127868,108709,112764,100301,95419,82906,82879,71504,74656,64352,57337,49408,45380,37074,33922,25362,22118,16863,16162,12975,10946,6978,
实收资本(或股本)(万元),81507,58219,58219,58219,58219,32344,32344,32344,32344,27977,27977,27977,27977,27045,10818,10818,10818,10818,8218,8218,8218,8218,8218,8218,8218,8218,8218,8218,8218,8218,8218,
资本公积(万元),58705,81993,81993,81993,81993,107869,107869,107869,107869,16786,16786,16786,16786,7541,23768,23768,23768,23768,1953,1953,1953,1953,1953,1953,1953,1953,1953,1917,1917,1917,1928,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),4233,4062,3953,3953,3702,3702,3702,3702,3486,3486,3486,3486,3344,3344,3344,3344,2851,2851,2851,2851,2239,2239,1646,1646,1115,1115,730,730,441,441,193,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),53219,53337,50027,49988,53253,54245,48871,48369,42595,38817,38411,39657,35703,34025,34006,35346,32261,30079,25814,28733,24522,23460,18962,16396,12324,11207,7812,6079,2944,2280,1165,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),197730,197836,194121,193999,197169,198161,192785,192284,186294,87065,86659,87905,83810,71955,71936,73276,69697,67515,38835,41755,36932,35870,30779,28213,23609,22492,18712,16944,13520,12856,11504,
少数股东权益(万元),107,117,6,59,276,308,209,209,209,209,209,209,209,348,284,276,97,173,224,305,245,332,305,350,331,353,327,318,310,313,472,
所有者权益(或股东权益)合计(万元),197837,197952,194127,194058,197445,198468,192994,192493,186503,87274,86868,88113,84019,72303,72219,73552,69794,67688,39059,42059,37177,36202,31084,28562,23940,22845,19039,17262,13830,13169,11976,
负债和所有者权益(或股东权益)总计(万元),451098,486045,467203,468042,470791,465381,418694,395076,353981,215142,195576,200878,184320,167722,155126,156431,141299,142345,103412,99396,86585,81582,68158,62484,49302,44963,35901,33423,26804,24115,18954,		
