报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
应收出口退税(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收补贴款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应收保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
买入返售金融资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
存货(万元),55441,45858,40109,40213,39522,32597,25767,16248,19948,13188,12730,12740,4918,6622,6693,8201,5825,7064,4845,5412,3772,3162,2035,3081,2181,1222,1334,1334,1172,493,561,172,25,
待摊费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
待处理流动资产损益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他流动资产(万元),21318,7099,17699,13279,11013,12342,3569,10491,10713,110,3167,403,573,1107,1042,70,788,200,404,,,,65,4000,,3355,,,,4,,,2,
流动资产合计(万元),265785,239722,176494,204450,184752,169549,116054,116353,101650,83036,80412,91723,46220,45051,37360,28303,31121,28964,24383,20970,15271,15188,15981,15213,11430,10973,10611,7303,6610,5742,5938,4374,1520,
发放贷款及垫款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
可供出售金融资产(万元),,,,16100,6100,8529,3000,1200,,,,,,,,,,,,,,,,,,,,,,,,,,
持有至到期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,500,,,,,
长期应收款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期股权投资(万元),26420,9247,6976,6476,5027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他长期投资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
投资性房地产(万元),,,,,,,,,,,,,,,232,234,236,237,239,240,242,244,245,247,248,,,,,,,,,
固定资产原值(万元),,28968,,26948,,9366,,4546,,4325,,4182,,4276,3748,,,,3086,,,,1177,,,,833,,,,,513,52,
累计折旧(万元),,4367,,3468,,2956,,2542,,2196,,1871,,1575,1203,,,,597,,,,259,,,,152,,,,,24,7,
固定资产净值(万元),,24601,,23480,,6410,,2004,,2129,,2311,,2702,2545,,,,2489,,,,918,,,,681,,,,,489,44,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产(万元),,24601,,23480,7036,6410,3232,2004,2033,2129,2233,2311,2577,2702,2545,2737,2648,2490,2489,2342,1916,1011,918,680,591,706,681,625,605,611,515,489,44,
在建工程(万元),,5256,,406,9276,7393,5339,4419,3475,3073,2616,,,,,32,,,,,,,,,,,,,,,,,,
工程物资(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
油气资产(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
无形资产(万元),7049,7149,7151,7329,5961,5208,3269,2374,2377,2458,2539,2614,2697,2770,2921,3005,3072,2212,2218,1123,1119,1105,36,26,14,15,16,11,14,,,,,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
商誉(万元),899,899,899,899,899,899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),1558,1681,1514,565,510,487,157,175,198,212,259,222,282,313,331,271,254,122,140,120,101,112,42,46,50,48,50,23,25,,28,,1,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),1591,1372,1258,1110,1097,971,841,738,603,565,591,555,385,376,274,142,151,110,165,152,152,85,105,59,59,59,59,14,15,9,35,12,8,
其他非流动资产(万元),16683,3288,3329,1376,745,3997,66,135,37,37,37,484,250,206,180,224,283,111,196,,1687,,851,,,,,,,,,,,
非流动资产合计(万元),109802,71592,64786,57742,36651,33894,15903,11045,8723,8474,8275,6187,6192,6367,6484,6645,6642,5282,5446,3977,5218,2557,2198,1078,961,828,805,1973,1158,619,578,501,54,
资产总计(万元),375587,311314,241280,262192,221403,203442,131957,127398,110373,91510,88688,97910,52411,51418,43844,34949,37763,34247,29829,24947,20489,17745,18179,16291,12391,11801,11416,9275,7768,6361,6516,4874,1574,
短期借款(万元),101891,81553,61256,61652,57104,53099,3397,2989,1569,2929,4092,5901,11365,10708,9444,7639,7584,6800,3900,3900,3000,500,500,,,,,,,,,200,,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),2576,176,,,,,,,,,,,2217,2000,433,,,,,,,,,,,,,,,,,,,
应付账款(万元),38340,42560,,32996,,32772,22497,20228,14218,9930,8700,14580,5782,8208,4444,3719,3954,5593,2724,4268,777,2647,724,1532,1285,517,378,724,749,126,334,294,43,
预收账款(万元),16678,8225,8454,26182,9395,4494,1381,1713,2642,1782,43,36,50,1,210,1950,263,2589,1031,8,181,150,71,654,76,39,12,9,4,17,4,5,,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),2784,2564,2172,8380,1639,1412,1161,4817,986,973,928,3013,909,814,2274,763,707,457,1607,319,375,300,860,162,133,107,295,101,69,9,150,0,0,
应交税费(万元),7949,3650,2266,2227,2435,1407,2516,1790,1316,1271,181,1728,1308,804,879,-747,951,-133,991,-29,740,325,343,677,7,68,265,312,275,138,142,58,42,
应付利息(万元),,47,,,,,,,,,,,,,,115,83,50,18,115,83,50,18,115,83,50,18,,,,,,,
应付股利(万元),87,163,54,54,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,1620,,4416,4282,2488,29,73,40,30,27,66,20,44,56,7,21,12,49,58,54,63,61,153,101,151,139,17,4,0,32,25,90,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),2445,2483,2483,2483,3234,3234,3311,3311,,,,,,,,,1977,1965,1952,,,,,,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,
流动负债合计(万元),175459,143040,109709,138391,110587,98995,34293,34921,20772,16915,13969,25325,21651,22577,17739,13470,15540,17333,12273,8638,5209,4035,2576,3294,1684,932,1107,1164,1101,290,661,582,175,
长期借款(万元),24893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付债券(万元),30754,30405,,,,,,,,,,,,,,1990,,,,1940,1927,1915,1902,1891,1879,1868,1856,,,,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,200,200,,,,,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),434,522,410,499,503,791,839,928,1056,1034,1122,1116,255,230,230,346,346,510,180,,,,588,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,2437,2437,2437,4966,4966,4966,4966,,,,,,,,,,,,500,650,608,,444,504,504,444,,,,348,,,
非流动负债合计(万元),56081,33364,2847,2936,5469,5758,6006,6094,1056,1034,1122,1116,255,230,230,2336,346,510,180,2439,2577,2522,2490,2334,2383,2371,2300,0,0,0,348,,,
负债合计(万元),231540,176404,112557,141327,116056,104753,40298,41015,21827,17949,15091,26440,21906,22807,17969,15806,15886,17843,12453,11078,7786,6558,5066,5628,4067,3303,3406,1164,1101,290,1009,582,175,
实收资本(或股本)(万元),24540,24542,16361,16361,16361,16361,8182,8182,8191,8000,8000,8000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,1274,1274,1274,1274,1274,1274,1000,
资本公积(万元),35189,35091,42797,43019,41150,41833,45647,45295,44678,36135,36054,35974,1836,1695,1532,876,879,1117,1485,1323,1323,1323,1452,1328,1328,1328,1876,1876,1876,1876,1876,1876,,
减:库存股(万元),2445,4920,4920,4920,8200,8200,8277,8277,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),5542,5542,5542,5542,4091,4091,4091,4091,2861,2861,2861,2861,1958,1958,1958,1063,1063,1063,1032,529,529,529,518,25,25,25,443,377,302,204,188,117,40,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),69194,62917,63446,55359,46996,39647,40981,36095,32110,25886,26019,23841,19880,17830,14876,9858,12411,7473,8126,6017,4828,3305,5118,3295,954,1126,4397,4565,3216,2717,2169,1025,359,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),139353,130288,123661,115746,100725,93768,90353,85504,88025,73080,73156,70802,29707,27503,24342,17746,20364,15656,16644,13869,12681,11157,13088,10648,8307,8478,7990,8092,6667,6071,5507,4292,1399,
少数股东权益(万元),4693,4622,5062,5119,4622,4922,1306,879,521,482,441,667,799,1108,1533,1397,1513,747,732,,23,30,25,15,18,19,20,20,,,,,,
所有者权益(或股东权益)合计(万元),144047,134910,128723,120865,105346,98690,91659,86383,88546,73561,73597,71469,30506,28610,25876,19143,21877,16403,17376,13869,12703,11187,13113,10663,8324,8498,8010,8111,6667,6071,5507,4292,1399,
负债和所有者权益(或股东权益)总计(万元),375587,311314,241280,262192,221403,203442,131957,127398,110373,91510,88688,97910,52411,51418,43844,34949,37763,34247,29829,24947,20489,17745,18179,16291,12391,11801,11416,9275,7768,6361,6516,4874,1574,		
