报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,
开发支出(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,110,
商誉(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期待摊费用(万元),39,44,49,24,27,8,18,19,21,22,25,,,,,,,19,19,26,29,33,36,39,43,47,57,
股权分置流通权(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税资产(万元),429,427,431,431,503,503,507,507,477,476,477,673,472,239,145,145,145,145,113,113,113,113,71,49,49,49,,
其他非流动资产(万元),669,324,356,233,496,1065,550,2275,1252,1514,1461,390,950,2068,1648,1772,1043,55,870,1656,,1438,,,,,,
非流动资产合计(万元),59757,59057,58999,58572,57075,55348,52545,50511,45741,44663,41785,40697,38487,28552,26967,25211,23532,22385,20414,20006,16421,16775,14636,13816,13556,13729,11912,
资产总计(万元),125172,117529,126836,128121,131940,136696,134416,130016,127194,89048,90185,73467,64615,55682,51190,47901,43421,44116,42620,37194,36322,33711,33512,30770,29718,31187,34664,
短期借款(万元),27193,21225,28590,26328,29955,35355,31555,24763,24275,24919,19912,12003,8191,10636,6874,2950,3860,2543,2073,1104,985,1093,3277,8777,9296,10659,11220,
向中央银行借款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付票据(万元),200,800,,800,,1208,1612,940,1200,2379,5648,2741,3868,3961,3348,4558,4228,3718,4991,3350,3997,3687,3611,2991,2775,1988,5613,
应付账款(万元),11478,9260,,12125,,11119,11735,16577,15548,10172,15112,12549,8907,5721,6991,5988,4501,7524,6630,5328,4431,4554,4852,4272,3858,4149,3701,
预收账款(万元),270,170,153,204,159,261,182,149,234,218,147,155,156,130,302,270,291,197,285,284,322,182,358,325,611,832,1000,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),1268,1172,894,1474,1284,1087,888,1368,1178,971,1259,981,685,806,753,663,525,679,631,563,560,675,744,694,635,754,557,
应交税费(万元),304,342,357,90,573,735,628,871,784,539,1465,882,1140,685,378,537,269,432,437,-35,-137,236,-152,379,-3,404,52,
应付利息(万元),53,32,71,62,40,40,41,40,33,39,30,31,198,29,225,164,110,43,226,167,104,44,235,166,103,49,21,
应付股利(万元),0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,134,,154,,103,115,257,129,89,87,75,63,60,50,52,49,55,124,35,40,82,34,70,137,135,1,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),1592,1363,1709,1814,2245,2179,2056,2209,2483,2786,2207,6378,1415,,3985,3944,3904,3865,,,,,,,,,,
其他流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,73,
流动负债合计(万元),42536,34499,42087,43051,46943,52087,48811,47176,45864,42112,45867,35794,24621,22028,22907,19126,17737,19056,15397,10795,10303,10552,12958,17674,17412,18971,22240,
长期借款(万元),1235,2060,2193,2329,2466,2606,2748,993,1100,,,,,,,1200,4200,3700,3000,3000,3000,1000,,,,,,
应付债券(万元),,,,,,,,,,,,,4959,4946,,,,,3826,3789,3753,3717,3682,3649,3616,3583,,
长期应付款(万元),,,,182,661,1114,1559,1997,2478,2950,1961,1488,2053,,,,,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
长期递延收益(万元),862,901,900,937,915,1154,1345,1433,1464,1231,1105,1020,715,847,,,,,,,,,,,,,,
递延所得税负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,513,623,396,510,628,775,1107,449,174,168,243,49,,
非流动负债合计(万元),2097,2961,3093,3448,4042,4874,5652,4423,5042,4181,3066,2509,7727,5793,513,1823,4596,4210,7454,7564,7860,5166,3855,3816,3859,3633,0,
负债合计(万元),44633,37459,45180,46499,50985,56961,54463,51599,50906,46293,48933,38302,32348,27821,23420,20949,22333,23267,22851,18359,18163,15718,16814,21490,21271,22604,22240,
实收资本(或股本)(万元),20535,20535,14668,14668,14668,14668,14668,14668,14668,11000,11000,11000,11000,10500,10500,10500,9000,9000,9000,9000,9000,9000,9000,6487,6487,6487,6487,
资本公积(万元),36359,36359,42227,42227,42227,42227,42227,42227,42227,13161,13161,13161,13161,11641,11641,11641,7426,7426,7426,7426,7426,7426,4070,1,1,1,1,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),2631,2631,2631,2631,2401,2401,2401,2401,1974,2190,1974,1312,935,668,465,465,465,465,157,157,157,157,713,587,587,587,449,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),20782,20472,22116,22031,21570,20440,20658,19122,17420,16404,15118,9692,7171,5052,5165,4341,4196,3960,3189,2254,1577,1410,2916,2205,1373,1508,5486,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,-2,-2,-2,-3,-2,-2,-1,-0,0,0,-0,-0,,
归属于母公司股东权益合计(万元),80308,79997,81642,81557,80865,79736,79953,78418,76289,42755,41253,35164,32267,27861,27769,26946,21085,20849,19770,18835,18159,17993,16699,9280,8447,8583,12424,
少数股东权益(万元),232,72,14,65,89,,,,,,,,,,,6,2,1,,,,,,,,,,
所有者权益(或股东权益)合计(万元),80539,80070,81656,81622,80955,79736,79953,78418,76289,42755,41253,35164,32267,27861,27769,26952,21087,20850,19770,18835,18159,17993,16699,9280,8447,8583,12424,
负债和所有者权益(或股东权益)总计(万元),125172,117529,126836,128121,131940,136696,134416,130016,127194,89048,90185,73467,64615,55682,51190,47901,43421,44116,42620,37194,36322,33711,33512,30770,29718,31187,34664,		
