报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
累计折旧(万元),,57093,,54884,,42297,,44489,,,32643,26169,,18023,,,
固定资产净值(万元),,177593,,160974,,116945,,128102,,,98247,90800,,78313,,,
固定资产减值准备(万元),,,,,,,,,,,,,,,,,
固定资产(万元),,177593,,160974,123330,116945,133030,128102,120008,106678,98247,90800,77468,78313,41320,52769,
在建工程(万元),,44369,,31604,56715,50255,16118,16441,15937,20468,15975,1691,10937,7290,21048,226,
工程物资(万元),,,,,,,,,,,,,,,,,
固定资产清理(万元),,,,,,,,,,,,,,,,,
生产性生物资产(万元),,,,,,,,,,,,,,,,,
公益性生物资产(万元),,,,,,,,,,,,,,,,,
油气资产(万元),17834,17834,17834,17834,,,,,,,,,,,,,
无形资产(万元),5559,5599,5626,5666,5683,5722,5761,5787,5826,5866,5944,6086,6159,6231,6283,6410,
开发支出(万元),,,,,,,,,,,,,,,,,
商誉(万元),,,,,,,,,,,,,,,,,
长期待摊费用(万元),21127,20710,18861,19074,14944,14829,15618,13895,12912,10912,11146,14487,16956,20129,14586,12971,
股权分置流通权(万元),,,,,,,,,,,,,,,,,
递延所得税资产(万元),126,94,25,25,10,10,10,10,6,6,6,18,212,214,211,153,
其他非流动资产(万元),20327,11963,12363,6863,,,,,,,,,,,,,
非流动资产合计(万元),295489,285034,271482,248531,208028,194350,174199,165013,155486,144744,132171,114009,112697,113180,84526,73680,
资产总计(万元),524527,498778,467942,431587,425713,424072,385626,370998,400210,295591,261432,251352,250637,253479,168176,131789,
短期借款(万元),101763,101156,87045,75759,58821,50130,36400,17000,22700,21824,12900,13200,20500,32611,32785,31895,
向中央银行借款(万元),,,,,,,,,,,,,,,,,
吸收存款及同业存放(万元),,,,,,,,,,,,,,,,,
拆入资金(万元),,,,,,,,,,,,,,,,,
交易性金融负债(万元),,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),10588,8461,,8838,,14111,7972,9199,12267,13238,9830,3342,3152,7199,4674,4546,
应付账款(万元),96935,80641,,63767,,44111,32165,37780,54938,48291,48131,56531,54500,49100,28505,32784,
预收账款(万元),3668,4047,3085,2789,1872,3060,555,312,1071,2018,4016,20204,20154,24361,375,2328,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),9932,10564,8551,6248,6557,5411,4213,8047,8485,6262,4058,7124,6250,6182,2780,3453,
应交税费(万元),9138,5957,7234,5622,9446,7977,8834,7864,9774,9213,7679,3965,4932,814,1211,2191,
应付利息(万元),243,327,241,174,330,174,184,201,286,283,159,212,263,304,110,23,
应付股利(万元),505,920,,,,12000,,,,,2329,4229,4229,5334,1817,2458,
其他应交款(万元),,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,
其他应付款(万元),,12682,,9651,,15184,5095,5459,5226,5707,4948,7204,7047,4448,4151,3215,
预提费用(万元),,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),16653,7903,8164,9813,12842,13581,12249,13315,12242,12238,10460,9177,8436,8173,3635,1752,
其他流动负债(万元),,,,,,,,,,,,,,,,,
流动负债合计(万元),266696,232658,201807,182661,170411,165739,107666,99176,126987,119074,104508,125188,129462,138527,80041,84646,
长期借款(万元),5150,14260,8510,3620,3820,3930,7167,7277,10977,11087,9397,12417,11087,10440,,,
应付债券(万元),,,,,,,,,,,,,,,,,
长期应付款(万元),,9326,,4879,6103,7453,8692,10577,12374,14121,17570,23444,26075,29615,14189,430,
专项应付款(万元),,,,,,,,,,,,,,,,,
预计非流动负债(万元),,,,,,,,,,,,,,4421,,,
长期递延收益(万元),1911,1953,1995,2037,1366,1070,1327,1350,1185,1075,,,,,,,
递延所得税负债(万元),1034,1055,1077,1176,1205,1205,1188,1188,1447,1323,1003,709,705,561,233,,
其他非流动负债(万元),,,,,,,,,,,1101,1153,317,343,445,355,
非流动负债合计(万元),18487,26594,25192,11712,12494,13658,18373,20392,25983,27605,29070,37722,38184,45380,14867,786,
负债合计(万元),285183,259252,226999,194373,182905,179397,126039,119568,152970,146679,133578,162910,167646,183907,94908,85431,
实收资本(或股本)(万元),40000,40000,40000,40000,40000,40000,40000,40000,40000,36000,36000,36000,36000,36000,22500,11354,
资本公积(万元),101353,101353,101353,101353,101353,101353,101353,101353,102863,21229,21229,21229,21229,21215,31444,19029,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),28,114,246,,,,,,38,,,,,,,,
盈余公积(万元),12327,12327,12327,12327,11963,11963,11963,11963,7899,7899,7899,4143,37,37,8,1352,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),91709,90570,91443,88762,93882,96525,106245,98129,96457,83800,62742,27086,25741,12336,19278,14592,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),239388,239555,240943,237214,242808,244675,259587,251430,247240,148912,127854,88442,82991,69572,73215,46311,
少数股东权益(万元),-44,-30,-0,-0,-0,,,,,,,,,,54,47,
所有者权益(或股东权益)合计(万元),239343,239526,240943,237214,242808,244675,259587,251430,247240,148912,127854,88442,82991,69572,73269,46358,
负债和所有者权益(或股东权益)总计(万元),524527,498778,467942,431587,425713,424072,385626,370998,400210,295591,261432,251352,250637,253479,168176,131789,		
