报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2009-06-30,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
一年内到期的非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
其他流动负债(万元),6627,7411,5114,4260,2811,3697,3378,3520,1983,1039,,,,,,,,,,,,0,,,,
流动负债合计(万元),282379,256820,278497,300464,267108,240507,262167,290024,247281,279211,244895,275064,215178,230491,196650,178299,128896,152457,64161,63057,46608,37589,26604,26445,16542,
长期借款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
长期应付款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
预计非流动负债(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
长期递延收益(万元),1045,996,896,714,383,328,198,198,200,257,262,561,442,,,,,,,,,0,,,,
递延所得税负债(万元),,,,,,,,,,,,,,664,,,,,,,,0,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,729,263,395,606,1113,1461,1064,1217,1290,1432,1365,
非流动负债合计(万元),1045,996,896,714,383,328,198,198,200,257,262,561,442,664,729,263,395,606,1113,1461,1064,1217,1290,1432,1365,
负债合计(万元),283424,257816,279394,301178,267491,240835,262365,290222,247482,279469,245158,275625,215620,231156,197379,178562,129291,153064,65274,64518,47672,38806,27893,27877,17907,
实收资本(或股本)(万元),42400,38160,38160,38160,38160,38160,38160,38160,38160,38160,38160,38160,38160,21200,21200,21200,21200,21200,13250,11250,11250,11250,11250,11250,11250,
资本公积(万元),56382,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,8200,3000,3000,3000,3000,3000,3000,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
盈余公积(万元),16371,16371,16371,16371,12979,12979,12979,12979,10860,10860,9024,9024,7461,7461,6080,6080,4909,4426,3763,3763,3075,3075,2532,2532,2046,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
未分配利润(万元),64523,61558,50429,64180,44989,40930,44797,44314,29966,34531,23413,24828,15010,30796,27246,23696,14574,15563,17145,12953,8307,9132,4865,6326,3169,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,0,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,-7,-15,3,16,1,,,0,,,,
归属于母公司股东权益合计(万元),180036,116498,105326,119112,96517,92399,96198,95760,79337,83946,70924,72301,60877,59704,54769,51211,40936,41456,42358,30966,25632,26457,21647,23108,19465,
少数股东权益(万元),,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,
所有者权益(或股东权益)合计(万元),180036,116498,105326,119112,96517,92399,96198,95760,79337,83946,70924,72301,60877,59704,54769,51211,40936,41456,42358,30966,25682,26507,21696,23158,19514,
负债和所有者权益(或股东权益)总计(万元),463459,374314,384720,420291,364008,333234,358563,385982,326818,363415,316082,347926,276497,290860,252148,229773,170227,194519,107632,95484,73354,65313,49590,51035,37422,		
