报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
预收账款(万元),196845,148529,121381,109944,113224,102024,98287,95319,96403,94295,99217,87920,76209,72114,81248,73462,50052,48591,52286,51423,,45645,41562,36335,23426,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付职工薪酬(万元),14256,22286,17424,24190,16945,16303,23101,36902,10946,15726,14139,22830,11649,13465,14155,19263,5734,6147,4926,12579,,3175,9150,5645,2557,
应交税费(万元),9239,15738,18021,23552,496,16809,16054,21401,6388,13205,23721,26258,19753,22926,22038,19238,12864,13205,13857,8989,,9173,7679,7481,7646,
应付利息(万元),1327,1408,617,1213,,,664,613,833,484,248,968,1361,1111,278,1285,,,,,,,,,,
应付股利(万元),340,340,340,340,,,250,400,400,400,,,,210,,,,159,,,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
其他应付款(万元),,164886,,161257,119323,157881,180237,234867,289172,232373,131109,280222,117252,93291,72083,68203,52897,45925,50336,60020,,37781,37290,29732,24670,
预提费用(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),111247,111430,653,925,194899,192060,195624,206932,11377,12039,9502,9154,7639,7454,5946,5673,,,,,,,,,,
其他流动负债(万元),1479,5287,4945,4715,4681,4255,4779,5192,4076,4051,4748,4025,3931,3821,3680,3540,,,,,,,,,,
流动负债合计(万元),944452,966310,698601,650146,755551,785398,881237,905978,679068,690223,491639,547822,346297,285450,270097,252518,154734,146109,171689,156118,,148294,123980,99765,69984,
长期借款(万元),252051,209654,323053,375824,191254,193000,194541,208000,412757,352726,331491,281343,285865,279317,281934,337245,,,,,,,,,,
应付债券(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
长期应付款(万元),,,,825,2111,1524,2159,1688,3053,3123,,,35,35,96,,,,,,,,,,,
专项应付款(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
预计非流动负债(万元),25268,22033,22058,22050,22515,22890,23610,25465,27317,28219,29371,28865,30776,30870,31351,30828,1170,1170,924,924,,876,960,,,
长期递延收益(万元),868,743,,,,,,,,,,,,,,,,,,,,,,,,
递延所得税负债(万元),1098,1140,,,,,,,,,,,,,,,,,,,,,,,,
其他非流动负债(万元),516,692,618,720,794,848,1445,1684,2489,3633,3845,3690,4679,7690,9407,9448,,,,,,,,,,
非流动负债合计(万元),281805,236077,346817,399809,217174,218722,222230,237336,456598,397722,374323,322171,326266,322903,327567,381807,1170,1170,924,924,,876,960,0,0,
负债合计(万元),1226257,1202387,1045418,1049955,972725,1004120,1103467,1143315,1135666,1087945,865961,869993,672563,608353,597664,634325,155904,147279,172613,157041,,149169,124940,99765,69984,
实收资本(或股本)(万元),207843,207843,176144,176144,176144,117429,117429,117429,117429,117429,117429,117429,117429,117429,117429,117429,112000,56000,56000,50000,,50000,50000,50000,50000,
资本公积(万元),809479,809479,400374,400374,400374,459088,459088,459088,459088,459088,459088,459088,459088,459088,459088,459088,63280,119280,119280,1247,,1247,1247,1247,1247,
减:库存股(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
盈余公积(万元),56152,56152,56152,56152,46836,46836,46836,46836,35947,35947,35947,35947,25800,25800,25800,25800,25582,25582,17797,17797,,10810,10810,6379,4211,
一般风险准备(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
未分配利润(万元),868080,837560,653221,610579,617244,603941,567979,513918,502494,464800,446951,399559,387685,353534,342890,296548,272007,241028,264578,230768,,199419,157660,101838,65178,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),1951736,1924313,1296331,1258252,1263579,1244090,1206708,1167045,1151404,1114077,1099270,1038677,1019203,978013,967770,910952,472869,441890,457655,299812,287324,261476,219717,159464,120637,
少数股东权益(万元),29859,30034,2560,2640,3716,3878,3904,3853,4889,3959,543,514,508,446,617,580,532,470,592,524,,451,588,542,552,
所有者权益(或股东权益)合计(万元),1981595,1954347,1298890,1260892,1267294,1247968,1210612,1170898,1156293,1118036,1099813,1039191,1019711,978460,968387,911533,473401,442360,458248,300337,287827,261927,220305,160007,121189,
负债和所有者权益(或股东权益)总计(万元),3207852,3156734,2344308,2310847,2240019,2252088,2314078,2314212,2291958,2205981,1965774,1909184,1692274,1586812,1566051,1545857,629304,589639,630861,457378,428807,411097,345245,259772,191173,		
