报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
交易性金融负债(万元),,,,,,,,,,,,,,,,,
衍生金融负债(万元),,,,,,,,,,,,,,,,,
应付票据(万元),,212,,3173,,2883,,,1000,1200,200,278,,200,,,
应付账款(万元),6925,7279,,4525,,3077,2267,4577,4507,3996,5576,8155,2795,1586,1387,1174,
预收账款(万元),107,169,209,159,197,124,93,224,25,30,45,40,111,91,52,46,
卖出回购金融资产款(万元),,,,,,,,,,,,,,,,,
应付手续费及佣金(万元),,,,,,,,,,,,,,,,,
应付职工薪酬(万元),501,428,391,725,472,786,725,959,476,455,351,773,527,505,317,229,
应交税费(万元),979,1503,608,1693,898,1467,1056,951,1081,535,996,917,745,716,645,315,
应付利息(万元),18,21,14,2,,,,,,0,31,32,19,13,14,11,
应付股利(万元),,,5616,,,,2160,,,0,0,,,,,,
其他应交款(万元),,,,,,,,,,,,,,,,,
应付保证金(万元),,,,,,,,,,,,,,,,,
内部应付款(万元),,,,,,,,,,,,,,,,,
其他应付款(万元),,61,,50,108,53,61,41,23,27,58,322,65,3,63,110,
预提费用(万元),,,,,,,,,,,,,,,,,
预计流动负债(万元),,,,,,,,,,,,,,,,,
应付分保账款(万元),,,,,,,,,,,,,,,,,
保险合同准备金(万元),,,,,,,,,,,,,,,,,
代理买卖证券款(万元),,,,,,,,,,,,,,,,,
代理承销证券款(万元),,,,,,,,,,,,,,,,,
国际票证结算(万元),,,,,,,,,,,,,,,,,
国内票证结算(万元),,,,,,,,,,,,,,,,,
递延收益(万元),,,,,,,,,,,,,,,,,
应付短期债券(万元),,,,,,,,,,,,,,,,,
一年内到期的非流动负债(万元),,,,,,,,,,0,1905,1905,,,,,
其他流动负债(万元),263,310,248,297,687,631,221,321,277,270,280,208,174,204,220,284,
流动负债合计(万元),17857,21982,16864,13624,11015,9020,6583,7073,7529,6975,20967,22652,11666,11056,10698,7128,
长期借款(万元),6500,6500,6500,,,,,,,0,11046,11046,4950,,,,
应付债券(万元),,,,,,,,,,0,0,,,,,,
长期应付款(万元),,,,,,,,,,0,,,,,,,
专项应付款(万元),,,,,,,,,,0,0,,,,,,
预计非流动负债(万元),,,,,,,,,,0,0,,,,,,
长期递延收益(万元),2604,2611,2666,2593,2542,2590,2638,2685,1814,1838,1862,1886,1910,1910,1910,,
递延所得税负债(万元),250,250,250,10,13,18,46,25,,0,0,,,,,,
其他非流动负债(万元),,,,,,,,,,,,,,,,,
非流动负债合计(万元),9354,9361,9415,2603,2555,2608,2684,2710,1814,1838,12907,12931,6860,1910,1910,0,
负债合计(万元),27211,31343,26279,16226,13570,11629,9266,9783,9343,8813,33875,35583,18525,12966,12607,7128,
实收资本(或股本)(万元),46800,46800,46800,46800,46800,46800,36000,36000,36000,36000,27000,27000,27000,27000,5500,5500,
资本公积(万元),38363,38363,38363,38363,38363,38363,49163,49163,49888,49888,3285,3285,3285,3285,1500,1500,
减:库存股(万元),,,,,,,,,,,,,,,,,
专项储备(万元),,,,,,,,,,,,,,,,,
盈余公积(万元),6614,6248,5810,5485,5042,4505,3938,3600,3291,2992,2641,2378,1203,140,1640,905,
一般风险准备(万元),,,,,,,,,,,,,,,,,
未确定的投资损失(万元),,,,,,,,,,,,,,,,,
未分配利润(万元),43825,40821,36615,39064,35444,30947,26249,25088,22416,22263,19032,16668,8994,1258,14756,8146,
拟分配现金股利(万元),,,,,,,,,,,,,,,,,
外币报表折算差额(万元),,,,,,,,,,,,,,,,,
归属于母公司股东权益合计(万元),137010,133622,129013,129739,125667,120713,115587,113960,111666,111137,51970,49346,40488,31682,23395,16052,
少数股东权益(万元),419,161,125,98,115,115,124,118,145,-229,-211,-174,-98,,,,
所有者权益(或股东权益)合计(万元),137430,133783,129138,129838,125781,120828,115711,114078,111811,110908,51759,49171,40390,31682,23395,16052,
负债和所有者权益(或股东权益)总计(万元),164640,165126,155418,146064,139351,132457,124977,123861,121154,119721,85634,84754,58916,44648,36003,23180,		
